# 海盗（Vanessa）物品协同先验一览
# 格式每行：(上游) → (物品名) → (下游) w/ (邻居约束) t/ (tags，含显式与自动加入)
# 自动 tag：尺寸 小型/中型/大型；冷却/弹药/暴击；效果类型 伤害/护盾/灼烧/剧毒/治疗；机制 减速/加速/充能/装填/冻结 等。
# 无约束写「无」。方向用 Left/Right 前缀，多子句 OR 用 | 连接。

无 → 舱底蠕虫 → 无 w/ 无 t/ 武器,水系,小型,伤害
暴击 → 舱底蠕虫_S10 → 暴击 w/ 无 t/ 小型,冷却,剧毒,充能
暴击 → 舱底蠕虫_S9 → 暴击 w/ 无 t/ 小型,冷却,剧毒
无 → 藏刃匕首 → 冷却 w/ 无 t/ 武器,小型,冷却,伤害,加速
无 → 藏刃匕首_S1 → 无 w/ 无 t/ 武器,小型,冷却,伤害
伙伴|食物 → 食人鱼 → 无 w/ 无 t/ 武器,水系,伙伴,小型,冷却,伤害,充能
无 → 食人鱼_S1 → 无 w/ 无 t/ 武器,水系,伙伴,小型,冷却,暴击,伤害
武器 → 三花 → 无 w/ 无 t/ 武器,伙伴,小型,冷却,伤害
武器 → 三花_S1 → 无 w/ 无 t/ 武器,伙伴,小型,冷却,暴击,伤害
无 → 淬锋钢 → 武器 w/ 无 t/ 工具,小型,冷却,伤害
无 → 淬锋钢_S9 → Right+武器 w/ 无 t/ 工具,小型,冷却,伤害
无 → 淬锋钢_S1 → Right+武器 w/ 无 t/ 工具,小型,冷却,伤害
无 → 独角鲸 → 无 w/ 无 t/ 武器,水系,伙伴,小型,冷却,伤害
无 → 独角鲸_S1 → 无 w/ 无 t/ 武器,水系,伙伴,小型,冷却,伤害
无 → 鱼饵 → 水系 w/ 无 t/ 水系,食物,小型,冷却
无 → 珊瑚 → 无 w/ 无 t/ 水系,遗物,小型,冷却,治疗
无 → 迷幻蝠鲼 → 无 w/ 伙伴|射线 t/ 水系,射线,伙伴,小型,冷却,减速
无 → 打火机 → 无 w/ 无 t/ 工具,小型,冷却,灼烧
无 → 手里剑 → 无 w/ 无 t/ 武器,小型,冷却,弹药,伤害
Left+武器 → 刺刀 → 无 w/ 无 t/ 武器,小型,伤害
无 → 宠物石 → 暴击 w/ 无 t/ 武器,伙伴,玩具,小型,冷却,伤害
无 → 左轮手枪 → 无 w/ 无 t/ 武器,小型,冷却,弹药,伤害
暴击 → 左轮手枪_S1 → 无 w/ 无 t/ 武器,小型,冷却,弹药,暴击,伤害,装填
无 → 手斧 → 武器 w/ 无 t/ 武器,小型,冷却,伤害
无 → 手雷 → 无 w/ 无 t/ 武器,小型,冷却,弹药,暴击,伤害
无 → 抓钩 → 无 w/ 无 t/ 武器,工具,小型,冷却,伤害,减速
无 → 抓钩_S1 → 无 w/ 无 t/ 武器,工具,小型,冷却,伤害,减速
水系 → 水草 → 无 w/ 无 t/ 水系,小型,冷却,治疗
无 → 流星索 → 无 w/ 无 t/ 武器,小型,冷却,弹药,伤害,减速
无 → 流星索_S1 → 无 w/ 无 t/ 武器,小型,冷却,弹药,伤害,减速
无 → 海螺壳 → 无 w/ 水系 t/ 水系,小型,冷却,护盾
无 → 燃烧响炮 → 无 w/ 无 t/ 玩具,小型,冷却,弹药,灼烧
水系+冷却 → 珍珠 → 无 w/ 无 t/ 水系,小型,冷却,护盾,充能
灼烧 → 棉鳚 → 无 w/ 无 t/ 武器,水系,伙伴,小型,冷却,伤害,加速,充能
灼烧 → 棉鳚_S6 → 无 w/ 无 t/ 武器,水系,伙伴,小型,冷却,伤害,加速,充能
灼烧 → 棉鳚_S4 → 无 w/ 无 t/ 武器,水系,伙伴,小型,冷却,伤害,加速,充能
弹药 → 葡萄弹 → 无 w/ 无 t/ 武器,小型,冷却,弹药,伤害,装填
弹药 → 葡萄弹_S1 → 无 w/ 无 t/ 武器,小型,冷却,弹药,伤害,装填
