# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 云精灵
[GDF] size=6 top 20
  1. RR=292 anchor_m=282 Swiss=9 | 彩虹药水,炼金梨缶,云精灵,翡翠,真菌孢子
  2. RR=287 anchor_m=280 Swiss=9 | 毒芹,炼金梨缶,云精灵,真菌孢子,翡翠
  3. RR=258 anchor_m=256 Swiss=9 | 鳄鱼眼泪,炼金梨缶,云精灵,翡翠,真菌孢子
  4. RR=257 anchor_m=256 Swiss=8 | 翡翠,剧毒药水,炼金梨缶,云精灵,真菌孢子
  5. RR=249 anchor_m=248 Swiss=8 | 再生药水,炼金梨缶,云精灵,翡翠,真菌孢子
  6. RR=230 anchor_m=227 Swiss=8 | 彩虹药水,炼金梨缶,云精灵,真菌孢子,笔与墨
  7. RR=214 anchor_m=214 Swiss=8 | 翡翠,瓶装闪电,炼金梨缶,云精灵,真菌孢子
  8. RR=205 anchor_m=203 Swiss=8 | 毒芹,炼金梨缶,云精灵,笔与墨,真菌孢子
  9. RR=234 anchor_m=139 Swiss=9 | 毒蜥,云精灵,倒刺利爪,毒液,真菌孢子,翡翠
  10. RR=202 anchor_m=192 Swiss=9 | 笔与墨,颠茄,云精灵,毒液注射,真菌孢子
  11. RR=193 anchor_m=191 Swiss=8 | 翡翠,笔与墨,炼金梨缶,云精灵,真菌孢子
  12. RR=208 anchor_m=156 Swiss=8 | 笔与墨,曲颈甑,云精灵,翡翠,真菌孢子
  13. RR=216 anchor_m=139 Swiss=8 | 翡翠,笔与墨,云精灵,毒蜥,毒液注射,真菌孢子
  14. RR=264 anchor_m=43 Swiss=9 | 毒蜥,云精灵,笔与墨,毒液,翡翠,真菌孢子
  15. RR=199 anchor_m=155 Swiss=8 | 彩虹药水,翡翠,笔与墨,云精灵,毒液注射,真菌孢子
  16. RR=190 anchor_m=138 Swiss=9 | 毒芹,翡翠,笔与墨,云精灵,毒液注射,真菌孢子
  17. RR=172 anchor_m=172 Swiss=9 | 彩虹药水,炼金梨缶,云精灵,毒液注射,真菌孢子
  18. RR=170 anchor_m=170 Swiss=8 | 昏睡药水,炼金梨缶,云精灵,翡翠,真菌孢子
  19. RR=172 anchor_m=152 Swiss=8 | 毒蜥,云精灵,毒液注射,毒液,翡翠,真菌孢子
  20. RR=160 anchor_m=160 Swiss=8 | 毒芹,炼金梨缶,云精灵,毒液注射,真菌孢子

[GDF] seeds: 倒刺利爪
[GDF] size=6 top 20
  1. RR=282 anchor_m=144 Swiss=9 | 地刺陷阱,蜡烛,倒刺利爪,鳄鱼眼泪,香炉
  2. RR=222 anchor_m=212 Swiss=9 | 倒刺利爪,毒液,地刺陷阱,鳄鱼眼泪,翡翠,真菌孢子
  3. RR=266 anchor_m=105 Swiss=9 | 地刺陷阱,蜡烛,红宝石,倒刺利爪,香炉
  4. RR=225 anchor_m=148 Swiss=9 | 地刺陷阱,彩虹药水,蜡烛,倒刺利爪,香炉
  5. RR=208 anchor_m=162 Swiss=9 | 地刺陷阱,蜡烛,火焰药水,倒刺利爪,香炉
