anchor	rr	anchor_m	swiss	deck
云精灵	258	85	10	红宝石,火焰药水,彩虹药水,鳄鱼眼泪,香炉,煅烧釜,云精灵
倒刺利爪	278	269	9	真菌孢子,蜡烛,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液,香炉
再生药水	294	28	10	再生药水,翡翠,毒液注射,真菌孢子,水蛭,倒刺利爪,毒液
剑杖	288	279	9	剑杖,翡翠,地刺陷阱,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
剧毒药水	287	175	9	剧毒药水,真菌孢子,鳄鱼眼泪,蜡烛,地刺陷阱,倒刺利爪,毒液
和平铸箱	288	206	9	和平铸箱,真菌孢子,笔与墨,毒液,翡翠,腐朽圣像
嗅盐	256	180	9	萤火虫,嗅盐,熏香,蜡烛,彩虹药水,红宝石,香炉
地刺陷阱	271	268	10	地刺陷阱,翡翠,真菌孢子,倒刺利爪,毒液,鳄鱼眼泪,蜡烛
地窖	283	283	10	真菌孢子,翡翠,剧毒药水,笔与墨,地窖,毒液,彩虹药水
塔兹迪亚匕首	247	155	8	翡翠,鳄鱼眼泪,剧毒药水,塔兹迪亚匕首,真菌孢子,倒刺利爪,毒液,地刺陷阱
展示玻璃球	280	280	8	火焰药水,瓶装闪电,香炉,红宝石,煅烧釜,展示玻璃球
彩虹药水	282	148	10	真菌孢子,倒刺利爪,毒液,鳄鱼眼泪,彩虹药水,地刺陷阱,翡翠,毒液注射
手术刀	225	200	9	拆信刀,香炉,蜡烛,倒刺利爪,地刺陷阱,手术刀,蛇怪之牙
折射棱镜	273	267	10	折射棱镜,地刺陷阱,毒液注射,翡翠,倒刺利爪,毒液,鳄鱼眼泪
拆信刀	225	137	10	曲颈甑,蛇怪之牙,拆信刀,研钵与研杵,手术刀,云精灵
时间之砂	291	35	10	时间之砂,香炉,红宝石,萤火虫,彩虹药水,瓶装闪电,鳄鱼眼泪
昏睡药水	288	-1	10	毒液注射,鳄鱼眼泪,昏睡药水,地刺陷阱,真菌孢子,倒刺利爪,毒液,翡翠
曲颈甑	274	274	8	曲颈甑,真菌孢子,毒液注射,地刺陷阱,倒刺利爪,毒液,翡翠
毒液	276	273	10	彩虹药水,翡翠,地刺陷阱,鳄鱼眼泪,真菌孢子,毒液注射,倒刺利爪,毒液
毒液注射	281	201	9	蜡烛,毒液注射,翡翠,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
毒芹	287	121	9	真菌孢子,翡翠,鳄鱼眼泪,倒刺利爪,毒液,地刺陷阱,毒液注射,毒芹
毒蜥	266	122	9	地刺陷阱,鳄鱼眼泪,毒蜥,真菌孢子,倒刺利爪,毒液,毒液注射,翡翠
水蛭	274	274	9	水蛭,翡翠,地刺陷阱,真菌孢子,毒液注射,倒刺利爪,毒液
