# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 云精灵
[GDF] size=8 top 20
  1. RR=258 anchor_m=85 Swiss=10 | 红宝石,火焰药水,彩虹药水,鳄鱼眼泪,香炉,煅烧釜,云精灵
  2. RR=257 anchor_m=251 Swiss=9 | 蜡烛,红宝石,香炉,煅烧釜,云精灵,火焰药水
  3. RR=249 anchor_m=222 Swiss=9 | 火焰药水,红宝石,香炉,瓶装闪电,彩虹药水,煅烧釜,云精灵
  4. RR=243 anchor_m=208 Swiss=9 | 彩虹药水,红宝石,香炉,瓶装闪电,萤火虫,煅烧釜,云精灵
  5. RR=232 anchor_m=220 Swiss=8 | 红宝石,香炉,蜡烛,煅烧釜,云精灵,瓶装闪电
  6. RR=232 anchor_m=201 Swiss=8 | 彩虹药水,红宝石,香炉,蜡烛,煅烧釜,云精灵
  7. RR=228 anchor_m=204 Swiss=9 | 红宝石,彩虹药水,鳄鱼眼泪,香炉,煅烧釜,云精灵,硫磺
  8. RR=253 anchor_m=145 Swiss=9 | 红宝石,鳄鱼眼泪,萤火虫,彩虹药水,香炉,煅烧釜,云精灵
  9. RR=212 anchor_m=195 Swiss=8 | 彩虹药水,红宝石,香炉,萤火虫,火焰药水,煅烧釜,云精灵
  10. RR=213 anchor_m=175 Swiss=8 | 红宝石,香炉,瓶装闪电,煅烧釜,云精灵,鳄鱼眼泪,火焰药水
  11. RR=207 anchor_m=185 Swiss=8 | 红宝石,碎瓶,彩虹药水,鳄鱼眼泪,香炉,煅烧釜,云精灵
  12. RR=202 anchor_m=176 Swiss=9 | 红宝石,彩虹药水,塔兹迪亚匕首,鳄鱼眼泪,香炉,煅烧釜,云精灵
  13. RR=194 anchor_m=180 Swiss=8 | 红宝石,鳄鱼眼泪,香炉,贤者之石,彩虹药水,煅烧釜,云精灵
  14. RR=257 anchor_m=51 Swiss=9 | 红宝石,彩虹药水,鳄鱼眼泪,瓶装闪电,香炉,煅烧釜,云精灵
  15. RR=185 anchor_m=182 Swiss=9 | 红宝石,剧毒药水,鳄鱼眼泪,瓶装闪电,香炉,煅烧釜,云精灵
  16. RR=232 anchor_m=83 Swiss=8 | 贤者之石,毒液注射,生命导体,云精灵,地窖,再生药水
  17. RR=183 anchor_m=178 Swiss=8 | 彩虹药水,红宝石,香炉,煅烧釜,云精灵,硫磺,瓶装闪电
  18. RR=183 anchor_m=175 Swiss=8 | 红宝石,拆信刀,彩虹药水,鳄鱼眼泪,香炉,煅烧釜,云精灵
  19. RR=186 anchor_m=163 Swiss=8 | 蛇怪之牙,红宝石,香炉,蜡烛,煅烧釜,云精灵
  20. RR=227 anchor_m=78 Swiss=9 | 和平铸箱,黑玫瑰,贤者之石,毒液注射,生命导体,云精灵

[GDF] seeds: 倒刺利爪
[GDF] size=8 top 20
  1. RR=278 anchor_m=269 Swiss=9 | 真菌孢子,蜡烛,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液,香炉
  2. RR=264 anchor_m=255 Swiss=9 | 真菌孢子,蜡烛,火焰药水,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液
  3. RR=261 anchor_m=251 Swiss=9 | 真菌孢子,蜡烛,地刺陷阱,鳄鱼眼泪,彩虹药水,倒刺利爪,毒液
  4. RR=252 anchor_m=248 Swiss=9 | 真菌孢子,蜡烛,地刺陷阱,鳄鱼眼泪,翡翠,倒刺利爪,毒液
  5. RR=247 anchor_m=243 Swiss=8 | 红宝石,真菌孢子,蜡烛,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液
  6. RR=241 anchor_m=239 Swiss=8 | 真菌孢子,蜡烛,毒液注射,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液
  7. RR=224 anchor_m=222 Swiss=8 | 真菌孢子,剧毒药水,蜡烛,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液
  8. RR=221 anchor_m=215 Swiss=8 | 鳄鱼眼泪,翡翠,彩虹药水,毒液注射,地刺陷阱,倒刺利爪,毒液,真菌孢子
  9. RR=217 anchor_m=210 Swiss=9 | 真菌孢子,蜡烛,地刺陷阱,瓶装闪电,鳄鱼眼泪,倒刺利爪,毒液
  10. RR=215 anchor_m=201 Swiss=8 | 彩虹药水,鳄鱼眼泪,翡翠,地刺陷阱,香炉,倒刺利爪,毒液,真菌孢子
  11. RR=207 anchor_m=207 Swiss=9 | 昏睡药水,鳄鱼眼泪,翡翠,毒液注射,地刺陷阱,倒刺利爪,毒液,真菌孢子
  12. RR=236 anchor_m=136 Swiss=8 | 真菌孢子,蜡烛,地刺陷阱,鳄鱼眼泪,蛇怪之牙,倒刺利爪,毒液
  13. RR=200 anchor_m=193 Swiss=9 | 真菌孢子,蜡烛,地刺陷阱,拆信刀,鳄鱼眼泪,倒刺利爪,毒液
  14. RR=198 anchor_m=194 Swiss=8 | 鳄鱼眼泪,倒刺利爪,毒液,真菌孢子,翡翠,地刺陷阱,毒蜥,彩虹药水
  15. RR=195 anchor_m=193 Swiss=8 | 鳄鱼眼泪,倒刺利爪,毒液,真菌孢子,翡翠,剧毒药水,地刺陷阱,彩虹药水
  16. RR=191 anchor_m=186 Swiss=8 | 萤火虫,真菌孢子,蜡烛,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液
  17. RR=182 anchor_m=177 Swiss=8 | 蜡烛,倒刺利爪,毒液,真菌孢子,翡翠,地刺陷阱,彩虹药水
