# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 云精灵
[GDF] size=10 top 20
  1. RR=283 anchor_m=262 Swiss=9 | 彩虹药水,红宝石,蜡烛,香炉,火焰药水,瓶装闪电,煅烧釜,云精灵
  2. RR=281 anchor_m=251 Swiss=9 | 瓶装闪电,火焰药水,香炉,蜡烛,碎瓶,红宝石,煅烧釜,云精灵
  3. RR=271 anchor_m=241 Swiss=10 | 彩虹药水,红宝石,蜡烛,香炉,火焰药水,碎瓶,煅烧釜,云精灵
  4. RR=255 anchor_m=253 Swiss=9 | 瓶装闪电,火焰药水,香炉,蜡烛,红宝石,煅烧釜,云精灵,贤者之石
  5. RR=250 anchor_m=248 Swiss=8 | 瓶装闪电,火焰药水,塔兹迪亚匕首,香炉,蜡烛,红宝石,煅烧釜,云精灵
  6. RR=243 anchor_m=240 Swiss=8 | 瓶装闪电,火焰药水,香炉,硫磺,蜡烛,红宝石,煅烧釜,云精灵
  7. RR=245 anchor_m=236 Swiss=8 | 贤者之石,彩虹药水,火焰药水,香炉,蜡烛,红宝石,煅烧釜,云精灵
  8. RR=224 anchor_m=211 Swiss=9 | 彩虹药水,红宝石,蜡烛,香炉,火焰药水,塔兹迪亚匕首,煅烧釜,云精灵
  9. RR=229 anchor_m=194 Swiss=8 | 香炉,红宝石,瓶装闪电,煅烧釜,云精灵,彩虹药水,蜡烛,碎瓶
  10. RR=218 anchor_m=216 Swiss=8 | 香炉,蜡烛,红宝石,煅烧釜,云精灵,瓶装闪电,蛇怪之牙,火焰药水
  11. RR=218 anchor_m=215 Swiss=8 | 贤者之石,彩虹药水,香炉,蜡烛,红宝石,鳄鱼眼泪,煅烧釜,云精灵
  12. RR=212 anchor_m=211 Swiss=9 | 贤者之石,彩虹药水,香炉,蜡烛,红宝石,煅烧釜,云精灵,瓶装闪电
  13. RR=211 anchor_m=207 Swiss=8 | 碎瓶,火焰药水,塔兹迪亚匕首,香炉,蜡烛,红宝石,煅烧釜,云精灵
  14. RR=213 anchor_m=198 Swiss=8 | 香炉,火焰药水,煅烧釜,云精灵,蜡烛,红宝石,萤火虫,彩虹药水
  15. RR=210 anchor_m=202 Swiss=9 | 彩虹药水,红宝石,硫磺,蜡烛,香炉,火焰药水,煅烧釜,云精灵
  16. RR=190 anchor_m=174 Swiss=8 | 香炉,红宝石,瓶装闪电,煅烧釜,云精灵,彩虹药水,蜡烛,硫磺
  17. RR=183 anchor_m=169 Swiss=8 | 贤者之石,彩虹药水,红宝石,鳄鱼眼泪,香炉,火焰药水,煅烧釜,云精灵,瓶装闪电
  18. RR=179 anchor_m=177 Swiss=8 | 贤者之石,香炉,蜡烛,红宝石,煅烧釜,云精灵,火焰药水,塔兹迪亚匕首
  19. RR=173 anchor_m=171 Swiss=8 | 香炉,火焰药水,煅烧釜,云精灵,蜡烛,红宝石,萤火虫,瓶装闪电
  20. RR=167 anchor_m=164 Swiss=9 | 瓶装闪电,拆信刀,火焰药水,香炉,蜡烛,红宝石,煅烧釜,云精灵

[GDF] seeds: 倒刺利爪
[GDF] size=10 top 20
  1. RR=284 anchor_m=278 Swiss=10 | 地刺陷阱,昏睡药水,蜡烛,翡翠,真菌孢子,倒刺利爪,毒液,毒液注射,鳄鱼眼泪
  2. RR=267 anchor_m=260 Swiss=9 | 香炉,地刺陷阱,蜡烛,翡翠,红宝石,真菌孢子,倒刺利爪,毒液,鳄鱼眼泪
  3. RR=255 anchor_m=252 Swiss=9 | 地刺陷阱,蜡烛,翡翠,真菌孢子,倒刺利爪,毒液,火焰药水,鳄鱼眼泪,彩虹药水
  4. RR=254 anchor_m=242 Swiss=9 | 地刺陷阱,蜡烛,翡翠,红宝石,真菌孢子,倒刺利爪,毒液,鳄鱼眼泪,彩虹药水
  5. RR=251 anchor_m=246 Swiss=9 | 地刺陷阱,蜡烛,翡翠,真菌孢子,倒刺利爪,毒液,香炉,火焰药水,鳄鱼眼泪
  6. RR=248 anchor_m=242 Swiss=9 | 地刺陷阱,蜡烛,翡翠,红宝石,真菌孢子,倒刺利爪,毒液,火焰药水,鳄鱼眼泪
  7. RR=244 anchor_m=240 Swiss=8 | 地刺陷阱,蜡烛,翡翠,真菌孢子,倒刺利爪,毒液,鳄鱼眼泪,香炉,彩虹药水
  8. RR=231 anchor_m=228 Swiss=9 | 地刺陷阱,香炉,蜡烛,贤者之石,翡翠,真菌孢子,倒刺利爪,毒液,鳄鱼眼泪
  9. RR=226 anchor_m=219 Swiss=8 | 地刺陷阱,蜡烛,翡翠,真菌孢子,倒刺利爪,毒液,毒液注射,鳄鱼眼泪,彩虹药水
  10. RR=216 anchor_m=207 Swiss=8 | 彩虹药水,地刺陷阱,蜡烛,贤者之石,翡翠,真菌孢子,倒刺利爪,毒液,鳄鱼眼泪
  11. RR=212 anchor_m=211 Swiss=8 | 地刺陷阱,蜡烛,贤者之石,翡翠,红宝石,真菌孢子,倒刺利爪,毒液,鳄鱼眼泪
  12. RR=212 anchor_m=202 Swiss=9 | 剧毒药水,地刺陷阱,蜡烛,翡翠,真菌孢子,倒刺利爪,毒液,鳄鱼眼泪,彩虹药水
