anchor	rr	anchor_m	swiss	deck
三花	262	246	9	靴里剑,三花,左轮手枪,手斧,鲨齿爪
刺刀	277	240	9	舱底蠕虫,鲨齿爪,手斧,左轮手枪,刺刀
双管霰弹枪	275	270	10	舱底蠕虫,手斧,淬锋钢,火药角,双管霰弹枪
填弹杆	225	225	9	葡萄弹,步枪,填弹杆,手雷
宠物石	247	214	9	宠物石,鲨齿爪,迷你弯刀,靴里剑,手斧
左轮手枪	257	257	9	舱底蠕虫,手斧,葡萄弹,弹簧刀,左轮手枪,淬锋钢
弯刀	231	195	9	舱底蠕虫,流星索,手斧,淬锋钢,弯刀
弹簧刀	263	263	10	靴里剑,手斧,弹簧刀,武士刀,淬锋钢
手斧	287	285	10	鲨齿爪,左轮手枪,葡萄弹,手斧,靴里剑
手里剑	266	50	10	手里剑,燃烧响炮,毒须鲶,鹦鹉皮特,绵鳚,打火机
手雷	222	154	9	葡萄弹,步枪,填弹杆,手雷
打火机	271	271	10	火炮,葡萄弹,打火机,绵鳚,燃烧响炮
抓钩	252	116	10	火药角,手雷,靴里剑,葡萄弹,抓钩,手斧
救生圈	282	233	10	马龙鱼,救生圈,飞鱼,淬锋钢
星图	235	50	8	舱底蠕虫,淬锋钢,星图,马龙鱼
木桶	270	93	8	水草,淬锋钢,木桶,马龙鱼
步枪	222	222	9	手雷,填弹杆,步枪,靴里剑
武士刀	284	284	9	靴里剑,手斧,弹簧刀,武士刀,淬锋钢
毒须鲶	266	57	9	毒须鲶,海底热泉,绵鳚,打火机,燃烧响炮
水母	273	91	9	淬锋钢,飞鱼,水母,马龙鱼,水草
水草	284	132	10	水草,淬锋钢,飞鱼,弹簧刀,马龙鱼
沙滩充气球	245	237	9	水草,沙滩充气球,绵鳚,毒须鲶,藏刃匕首
流星索	268	179	9	燃烧响炮,流星索,皮皮虾,迷幻蝠鲼,绵鳚,打火机
海底热泉	291	291	10	燃烧响炮,葡萄弹,打火机,绵鳚,海底热泉
海螺壳	287	32	10	海螺壳,淬锋钢,马龙鱼,弹簧刀,飞鱼
淬锋钢	234	233	9	舱底蠕虫,手斧,淬锋钢,绵鳚,马龙鱼
渔网	255	171	10	皮皮虾,迷幻蝠鲼,绵鳚,渔网,流星索
温馨海湾	287	67	9	水草,温馨海湾,淬锋钢,独角鲸
湿件战服	276	137	10	马龙鱼,湿件战服,淬锋钢,飞鱼
火炮	269	269	10	火药角,火炮,绵鳚,燃烧响炮,打火机
火药角	244	244	9	救生圈,淬锋钢,火药角,步枪
燃烧响炮	270	270	9	火药角,火炮,绵鳚,打火机,燃烧响炮
独角鲸	271	208	9	水草,独角鲸,弹簧刀,马龙鱼,淬锋钢
狼筅	271	203	10	狼筅,火药角,手雷,葡萄弹,手斧
珊瑚	256	142	10	舱底蠕虫,珊瑚,淬锋钢,绵鳚,马龙鱼
珊瑚护甲	273	115	10	水草,绵鳚,毒须鲶,雪怪蟹,珊瑚护甲
珍珠	256	81	8	珍珠,马龙鱼,弹簧刀,独角鲸,淬锋钢
皮皮虾	272	272	9	打火机,绵鳚,迷幻蝠鲼,皮皮虾,流星索,燃烧响炮
绵鳚	259	222	9	水草,绵鳚,毒须鲶,迷幻蝠鲼,皮皮虾,海螺壳
舱底蠕虫	232	86	8	皮皮虾,迷幻蝠鲼,绵鳚,毒须鲶,海螺壳,舱底蠕虫
葡萄弹	272	266	10	鲨齿爪,靴里剑,葡萄弹,手斧,左轮手枪
藏刃匕首	265	203	9	手斧,藏刃匕首,弹簧刀,武士刀,淬锋钢
迷你弯刀	274	258	9	手斧,左轮手枪,葡萄弹,鲨齿爪,迷你弯刀
迷幻蝠鲼	286	258	9	皮皮虾,迷幻蝠鲼,鹦鹉皮特,绵鳚,打火机,燃烧响炮
钓鱼竿	285	158	9	钓鱼竿,马龙鱼,飞鱼,淬锋钢
铲子	244	-31	8	珊瑚,淬锋钢,马龙鱼,铲子
雪怪蟹	280	10	10	马龙鱼,弹簧刀,飞鱼,淬锋钢,雪怪蟹
靴里剑	286	281	10	流星索,手斧,鲨齿爪,葡萄弹,靴里剑
飞鱼	279	184	9	水草,淬锋钢,飞鱼,弹簧刀,马龙鱼
食人鱼	256	119	8	食人鱼,淬锋钢,绵鳚,马龙鱼,水草
马龙鱼	239	239	9	救生圈,马龙鱼,水草,淬锋钢
鱼饵	241	18	9	淬锋钢,飞鱼,弹簧刀,马龙鱼,鱼饵
鲨齿爪	282	282	10	靴里剑,鲨齿爪,左轮手枪,葡萄弹,手斧
鹦鹉皮特	277	154	9	燃烧响炮,火炮,鹦鹉皮特,绵鳚,打火机
龙涎香	279	49	10	龙涎香,马龙鱼,弹簧刀,飞鱼,淬锋钢
