# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 三花
[GDF] size=6 top 20
  1. RR=262 anchor_m=246 Swiss=9 | 靴里剑,三花,左轮手枪,手斧,鲨齿爪
  2. RR=250 anchor_m=229 Swiss=9 | 靴里剑,三花,手斧,鲨齿爪,流星索
  3. RR=243 anchor_m=241 Swiss=9 | 靴里剑,三花,手斧,独角鲸,鲨齿爪
  4. RR=258 anchor_m=197 Swiss=9 | 靴里剑,三花,鲨齿爪,左轮手枪,葡萄弹
  5. RR=228 anchor_m=226 Swiss=9 | 靴里剑,三花,迷你弯刀,手斧,鲨齿爪
  6. RR=230 anchor_m=200 Swiss=10 | 舱底蠕虫,三花,鲨齿爪,手斧,靴里剑
  7. RR=206 anchor_m=205 Swiss=8 | 靴里剑,三花,手斧,弹簧刀,鲨齿爪
  8. RR=204 anchor_m=188 Swiss=8 | 靴里剑,三花,手斧,抓钩,鲨齿爪
  9. RR=192 anchor_m=188 Swiss=8 | 靴里剑,三花,手斧,鲨齿爪,宠物石
  10. RR=190 anchor_m=189 Swiss=9 | 靴里剑,三花,手斧,鲨齿爪,飞鱼
  11. RR=190 anchor_m=189 Swiss=8 | 靴里剑,淬锋钢,三花,手斧,鲨齿爪
  12. RR=191 anchor_m=171 Swiss=8 | 舱底蠕虫,三花,鲨齿爪,左轮手枪,葡萄弹
  13. RR=194 anchor_m=140 Swiss=9 | 舱底蠕虫,流星索,三花,鲨齿爪,手斧
  14. RR=187 anchor_m=140 Swiss=8 | 舱底蠕虫,三花,鲨齿爪,藏刃匕首,手斧
  15. RR=169 anchor_m=162 Swiss=8 | 靴里剑,三花,鲨齿爪,淬锋钢,左轮手枪
  16. RR=162 anchor_m=162 Swiss=8 | 靴里剑,淬锋钢,鲨齿爪,三花,迷你弯刀
  17. RR=172 anchor_m=135 Swiss=8 | 舱底蠕虫,三花,淬锋钢,鲨齿爪,左轮手枪
  18. RR=204 anchor_m=62 Swiss=8 | 手斧,淬锋钢,三花,弹簧刀,马龙鱼
  19. RR=191 anchor_m=83 Swiss=9 | 三花,淬锋钢,飞鱼,弹簧刀,马龙鱼
  20. RR=188 anchor_m=87 Swiss=8 | 舱底蠕虫,三花,淬锋钢,绵鳚,马龙鱼

[GDF] seeds: 刺刀
[GDF] size=6 top 20
  1. RR=277 anchor_m=240 Swiss=9 | 舱底蠕虫,鲨齿爪,手斧,左轮手枪,刺刀
  2. RR=276 anchor_m=270 Swiss=10 | 手斧,鲨齿爪,靴里剑,迷你弯刀,刺刀
  3. RR=272 anchor_m=227 Swiss=9 | 靴里剑,葡萄弹,手斧,左轮手枪,刺刀,淬锋钢
  4. RR=258 anchor_m=240 Swiss=9 | 舱底蠕虫,鲨齿爪,手斧,独角鲸,刺刀
  5. RR=256 anchor_m=211 Swiss=9 | 手斧,葡萄弹,弹簧刀,左轮手枪,刺刀,淬锋钢
  6. RR=246 anchor_m=227 Swiss=8 | 舱底蠕虫,鲨齿爪,手斧,迷你弯刀,刺刀
  7. RR=236 anchor_m=233 Swiss=8 | 鲨齿爪,手斧,左轮手枪,刺刀,淬锋钢
  8. RR=226 anchor_m=224 Swiss=9 | 手斧,鲨齿爪,迷你弯刀,左轮手枪,刺刀
  9. RR=225 anchor_m=224 Swiss=9 | 靴里剑,手斧,武士刀,刺刀,淬锋钢
  10. RR=236 anchor_m=196 Swiss=9 | 葡萄弹,流星索,手斧,左轮手枪,刺刀,淬锋钢
  11. RR=222 anchor_m=213 Swiss=8 | 舱底蠕虫,鲨齿爪,左轮手枪,刺刀,葡萄弹
  12. RR=235 anchor_m=186 Swiss=8 | 舱底蠕虫,鲨齿爪,淬锋钢,左轮手枪,刺刀
  13. RR=200 anchor_m=193 Swiss=9 | 手斧,弹簧刀,武士刀,刺刀,流星索
  14. RR=198 anchor_m=196 Swiss=8 | 手斧,鲨齿爪,三花,迷你弯刀,刺刀
  15. RR=197 anchor_m=197 Swiss=8 | 手斧,淬锋钢,鲨齿爪,迷你弯刀,刺刀
  16. RR=208 anchor_m=163 Swiss=8 | 葡萄弹,手雷,手斧,左轮手枪,刺刀,淬锋钢
  17. RR=205 anchor_m=151 Swiss=8 | 舱底蠕虫,鲨齿爪,独角鲸,刺刀,淬锋钢
  18. RR=183 anchor_m=181 Swiss=8 | 手斧,鲨齿爪,迷你弯刀,刺刀,独角鲸
  19. RR=177 anchor_m=167 Swiss=8 | 手斧,左轮手枪,弹簧刀,武士刀,刺刀
  20. RR=168 anchor_m=167 Swiss=8 | 靴里剑,舱底蠕虫,鲨齿爪,左轮手枪,刺刀

[GDF] seeds: 双管霰弹枪
[GDF] size=6 top 20
  1. RR=275 anchor_m=270 Swiss=10 | 舱底蠕虫,手斧,淬锋钢,火药角,双管霰弹枪
  2. RR=269 anchor_m=269 Swiss=9 | 火药角,双管霰弹枪,弹簧刀,葡萄弹,手斧
  3. RR=264 anchor_m=264 Swiss=9 | 淬锋钢,火药角,双管霰弹枪,弹簧刀,葡萄弹
  4. RR=259 anchor_m=259 Swiss=8 | 火药角,双管霰弹枪,手斧,淬锋钢,葡萄弹
  5. RR=257 anchor_m=257 Swiss=9 | 火药角,双管霰弹枪,弹簧刀,淬锋钢,舱底蠕虫
  6. RR=250 anchor_m=250 Swiss=9 | 火药角,双管霰弹枪,淬锋钢,葡萄弹,舱底蠕虫
  7. RR=242 anchor_m=242 Swiss=8 | 淬锋钢,火药角,双管霰弹枪,救生圈
  8. RR=240 anchor_m=240 Swiss=8 | 水草,淬锋钢,珊瑚,火药角,双管霰弹枪
  9. RR=226 anchor_m=226 Swiss=8 | 火药角,双管霰弹枪,绵鳚,淬锋钢,舱底蠕虫
  10. RR=226 anchor_m=226 Swiss=8 | 淬锋钢,珊瑚,火药角,双管霰弹枪,弹簧刀
  11. RR=218 anchor_m=218 Swiss=8 | 淬锋钢,火药角,双管霰弹枪,弹簧刀,左轮手枪
