# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 三花
[GDF] size=8 top 20
  1. RR=262 anchor_m=174 Swiss=9 | 手斧,左轮手枪,靴里剑,三花,鲨齿爪,葡萄弹,舱底蠕虫
  2. RR=214 anchor_m=203 Swiss=8 | 三花,左轮手枪,弹簧刀,鲨齿爪,舱底蠕虫,手斧,葡萄弹
  3. RR=221 anchor_m=173 Swiss=9 | 鲨齿爪,三花,葡萄弹,手斧,左轮手枪,弹簧刀,独角鲸
  4. RR=209 anchor_m=193 Swiss=9 | 手斧,左轮手枪,刺刀,靴里剑,三花,鲨齿爪,舱底蠕虫
  5. RR=211 anchor_m=170 Swiss=9 | 流星索,手斧,左轮手枪,靴里剑,三花,鲨齿爪,舱底蠕虫
  6. RR=200 anchor_m=187 Swiss=9 | 流星索,三花,手斧,鲨齿爪,葡萄弹,迷你弯刀,舱底蠕虫
  7. RR=200 anchor_m=186 Swiss=8 | 手斧,左轮手枪,弹簧刀,靴里剑,三花,鲨齿爪,舱底蠕虫
  8. RR=199 anchor_m=186 Swiss=8 | 鲨齿爪,三花,手斧,靴里剑,流星索,弹簧刀,独角鲸
  9. RR=197 anchor_m=189 Swiss=8 | 手斧,左轮手枪,靴里剑,独角鲸,三花,鲨齿爪,舱底蠕虫
  10. RR=206 anchor_m=160 Swiss=10 | 手雷,鲨齿爪,三花,手斧,靴里剑,弹簧刀,独角鲸
  11. RR=192 anchor_m=187 Swiss=9 | 鲨齿爪,流星索,三花,手斧,靴里剑,迷你弯刀,独角鲸
  12. RR=192 anchor_m=183 Swiss=8 | 鲨齿爪,三花,珊瑚,手斧,左轮手枪,弹簧刀,独角鲸
  13. RR=188 anchor_m=173 Swiss=8 | 靴里剑,舱底蠕虫,鲨齿爪,三花,手斧,独角鲸,刺刀
  14. RR=183 anchor_m=174 Swiss=8 | 三花,左轮手枪,弹簧刀,独角鲸,鲨齿爪,舱底蠕虫,手斧
  15. RR=180 anchor_m=175 Swiss=8 | 手斧,左轮手枪,靴里剑,迷你弯刀,三花,鲨齿爪,舱底蠕虫
  16. RR=181 anchor_m=160 Swiss=8 | 三花,葡萄弹,鲨齿爪,藏刃匕首,左轮手枪,舱底蠕虫,手斧
  17. RR=174 anchor_m=168 Swiss=8 | 手雷,靴里剑,舱底蠕虫,鲨齿爪,三花,手斧,独角鲸
  18. RR=170 anchor_m=157 Swiss=8 | 抓钩,三花,鲨齿爪,左轮手枪,舱底蠕虫,手斧,葡萄弹
  19. RR=173 anchor_m=150 Swiss=8 | 流星索,三花,手斧,鲨齿爪,迷你弯刀,刺刀,舱底蠕虫
  20. RR=176 anchor_m=135 Swiss=8 | 鲨齿爪,三花,手斧,流星索,左轮手枪,弹簧刀,独角鲸

[GDF] seeds: 刺刀
[GDF] size=8 top 20
  1. RR=255 anchor_m=240 Swiss=9 | 靴里剑,流星索,手斧,独角鲸,刺刀,鲨齿爪,葡萄弹
  2. RR=243 anchor_m=221 Swiss=8 | 流星索,鲨齿爪,手斧,弹簧刀,武士刀,刺刀
  3. RR=250 anchor_m=205 Swiss=9 | 手斧,靴里剑,鲨齿爪,流星索,葡萄弹,迷你弯刀,刺刀
  4. RR=242 anchor_m=220 Swiss=8 | 流星索,手斧,独角鲸,刺刀,鲨齿爪,左轮手枪,葡萄弹
  5. RR=231 anchor_m=216 Swiss=9 | 皮皮虾,手斧,靴里剑,鲨齿爪,流星索,迷你弯刀,刺刀
  6. RR=222 anchor_m=215 Swiss=9 | 手斧,独角鲸,迷你弯刀,刺刀,靴里剑,流星索,鲨齿爪
  7. RR=217 anchor_m=208 Swiss=8 | 手斧,靴里剑,鲨齿爪,流星索,淬锋钢,迷你弯刀,刺刀
  8. RR=215 anchor_m=201 Swiss=9 | 手斧,三花,靴里剑,鲨齿爪,流星索,迷你弯刀,刺刀
  9. RR=212 anchor_m=204 Swiss=8 | 流星索,手斧,独角鲸,刺刀,鲨齿爪,葡萄弹,皮皮虾
  10. RR=210 anchor_m=196 Swiss=8 | 鲨齿爪,手斧,靴里剑,葡萄弹,左轮手枪,刺刀,舱底蠕虫
  11. RR=210 anchor_m=192 Swiss=9 | 手斧,靴里剑,鲨齿爪,流星索,迷你弯刀,左轮手枪,刺刀
  12. RR=198 anchor_m=195 Swiss=7 | 鲨齿爪,手斧,弹簧刀,武士刀,刺刀,珊瑚
  13. RR=198 anchor_m=188 Swiss=8 | 流星索,手斧,独角鲸,刺刀,鲨齿爪,弹簧刀,葡萄弹
  14. RR=196 anchor_m=191 Swiss=8 | 手斧,弹簧刀,靴里剑,鲨齿爪,流星索,迷你弯刀,刺刀
