# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 三花
[GDF] size=10 top 20
  1. RR=233 anchor_m=135 Swiss=9 | 舱底蠕虫,三花,鲨齿爪,手斧,飞鱼,淬锋钢,弹簧刀,马龙鱼
  2. RR=225 anchor_m=175 Swiss=9 | 三花,手斧,鲨齿爪,葡萄弹,左轮手枪,弹簧刀,独角鲸,淬锋钢,靴里剑
  3. RR=211 anchor_m=200 Swiss=10 | 三花,手斧,鲨齿爪,靴里剑,流星索,左轮手枪,弹簧刀,独角鲸,淬锋钢
  4. RR=216 anchor_m=182 Swiss=8 | 三花,舱底蠕虫,手斧,鲨齿爪,葡萄弹,左轮手枪,弹簧刀,独角鲸,淬锋钢
  5. RR=222 anchor_m=154 Swiss=9 | 靴里剑,手斧,三花,鲨齿爪,飞鱼,淬锋钢,弹簧刀,马龙鱼
  6. RR=212 anchor_m=174 Swiss=9 | 三花,鲨齿爪,流星索,飞鱼,淬锋钢,手斧,弹簧刀,马龙鱼
  7. RR=196 anchor_m=183 Swiss=8 | 葡萄弹,三花,靴里剑,流星索,鲨齿爪,手斧,独角鲸,淬锋钢,左轮手枪
  8. RR=192 anchor_m=190 Swiss=8 | 三花,手斧,鲨齿爪,靴里剑,左轮手枪,弹簧刀,独角鲸,刺刀,淬锋钢
  9. RR=193 anchor_m=165 Swiss=9 | 舱底蠕虫,葡萄弹,三花,靴里剑,鲨齿爪,手斧,独角鲸,淬锋钢,左轮手枪
  10. RR=199 anchor_m=148 Swiss=9 | 舱底蠕虫,三花,鲨齿爪,手斧,左轮手枪,飞鱼,淬锋钢,马龙鱼
  11. RR=206 anchor_m=132 Swiss=9 | 舱底蠕虫,三花,鲨齿爪,手斧,飞鱼,淬锋钢,靴里剑,马龙鱼
  12. RR=173 anchor_m=162 Swiss=8 | 三花,手斧,鲨齿爪,葡萄弹,左轮手枪,弹簧刀,迷你弯刀,独角鲸,淬锋钢
  13. RR=199 anchor_m=109 Swiss=7 | 舱底蠕虫,流星索,三花,鲨齿爪,手斧,飞鱼,淬锋钢,马龙鱼
  14. RR=182 anchor_m=141 Swiss=8 | 舱底蠕虫,三花,鲨齿爪,手斧,独角鲸,飞鱼,淬锋钢,马龙鱼
  15. RR=171 anchor_m=161 Swiss=8 | 三花,流星索,手斧,鲨齿爪,武士刀,弹簧刀,独角鲸,淬锋钢
  16. RR=177 anchor_m=140 Swiss=8 | 舱底蠕虫,三花,迷你弯刀,鲨齿爪,手斧,飞鱼,淬锋钢,马龙鱼
  17. RR=178 anchor_m=131 Swiss=9 | 三花,鲨齿爪,飞鱼,淬锋钢,手斧,独角鲸,弹簧刀,马龙鱼
  18. RR=210 anchor_m=62 Swiss=8 | 舱底蠕虫,三花,手斧,燃烧响炮,淬锋钢,鲨齿爪,绵鳚,马龙鱼
  19. RR=157 anchor_m=152 Swiss=8 | 三花,手斧,鲨齿爪,葡萄弹,左轮手枪,弹簧刀,独角鲸,淬锋钢,流星索
  20. RR=152 anchor_m=151 Swiss=8 | 三花,手斧,鲨齿爪,手里剑,葡萄弹,左轮手枪,弹簧刀,独角鲸,淬锋钢

[GDF] seeds: 刺刀
[GDF] size=10 top 20
  1. RR=263 anchor_m=256 Swiss=10 | 舱底蠕虫,靴里剑,手斧,鲨齿爪,弹簧刀,武士刀,刺刀,淬锋钢
  2. RR=246 anchor_m=240 Swiss=8 | 舱底蠕虫,手斧,鲨齿爪,左轮手枪,弹簧刀,武士刀,刺刀,淬锋钢
