# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 三花
[GDF] size=10 top 20
  1. RR=276 anchor_m=5 Swiss=11 | 篝火,打火机,燃烧子弹,三花,燃烧响炮,绵鳚,珊瑚,大钢弩
  2. RR=272 anchor_m=18 Swiss=10 | 篝火,打火机,三花,枪套,燃烧响炮,绵鳚,珊瑚,大钢弩
  3. RR=254 anchor_m=3 Swiss=11 | 篝火,打火机,三花,燃烧响炮,绵鳚,潜水配重,珊瑚,大钢弩
  4. RR=236 anchor_m=23 Swiss=11 | 救生圈,加速烙刀,绵鳚,篝火,打火机,三花,燃烧响炮
  5. RR=204 anchor_m=86 Swiss=10 | 加速烙刀,篝火,打火机,燃烧子弹,三花,大钢弩,燃烧响炮
  6. RR=226 anchor_m=41 Swiss=11 | 篝火,打火机,三花,燃烧响炮,绵鳚,珊瑚,水母,大钢弩
  7. RR=221 anchor_m=43 Swiss=10 | 篝火,打火机,三花,理查森先生,燃烧响炮,绵鳚,珊瑚,大钢弩
  8. RR=223 anchor_m=38 Swiss=10 | 篝火,打火机,三花,燃烧响炮,绵鳚,珊瑚,大钢弩,小冰镐
  9. RR=219 anchor_m=35 Swiss=10 | 篝火,打火机,靴里剑,三花,燃烧响炮,绵鳚,珊瑚,大钢弩
  10. RR=225 anchor_m=21 Swiss=11 | 篝火,打火机,三花,燃烧响炮,绵鳚,珊瑚,大钢弩,手雷
  11. RR=208 anchor_m=48 Swiss=10 | 篝火,打火机,三花,手斧,燃烧响炮,绵鳚,珊瑚,大钢弩
  12. RR=224 anchor_m=15 Swiss=10 | 篝火,打火机,三花,燃烧响炮,绵鳚,珊瑚,大钢弩,流星索
  13. RR=221 anchor_m=20 Swiss=11 | 篝火,打火机,烈酒杯,三花,燃烧响炮,绵鳚,珊瑚,大钢弩
  14. RR=215 anchor_m=22 Swiss=10 | 篝火,打火机,三花,燃烧响炮,绵鳚,珊瑚,大钢弩,葡萄弹
  15. RR=215 anchor_m=18 Swiss=10 | 篝火,打火机,藏刃匕首,三花,燃烧响炮,绵鳚,珊瑚,大钢弩
  16. RR=211 anchor_m=25 Swiss=10 | 加速烙刀,篝火,打火机,燃烧子弹,三花,理查森先生,绵鳚,燃烧响炮
  17. RR=233 anchor_m=-21 Swiss=10 | 篝火,打火机,飞鱼,三花,燃烧响炮,绵鳚,珊瑚,大钢弩
  18. RR=206 anchor_m=32 Swiss=10 | 篝火,打火机,蔻森娜纹章,三花,燃烧响炮,绵鳚,珊瑚,大钢弩
  19. RR=201 anchor_m=37 Swiss=10 | 理查森先生,绵鳚,加速烙刀,篝火,打火机,三花,枪套,燃烧响炮
  20. RR=186 anchor_m=29 Swiss=10 | 篝火,打火机,盐钳海盗,三花,燃烧响炮,绵鳚,珊瑚,大钢弩

[GDF] seeds: 伪装
[GDF] size=10 top 20
  1. RR=290 anchor_m=0 Swiss=11 | 大钢弩,小冰镐,篝火,伪装,燃烧响炮,绵鳚,打火机
  2. RR=286 anchor_m=1 Swiss=11 | 伪装,篝火,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀
  3. RR=250 anchor_m=9 Swiss=10 | 拍立蚌,伪装,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀,枪套
  4. RR=253 anchor_m=2 Swiss=11 | 伪装,燃烧响炮,流星索,燃烧子弹,打火机,绵鳚,加速烙刀,枪套
  5. RR=253 anchor_m=1 Swiss=10 | 伪装,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀,枪套,珊瑚
  6. RR=249 anchor_m=-2 Swiss=10 | 伪装,燃烧响炮,燃烧子弹,打火机,小冰镐,绵鳚,加速烙刀,枪套
  7. RR=239 anchor_m=6 Swiss=10 | 伪装,燃烧响炮,燃烧子弹,打火机,潜水配重,绵鳚,加速烙刀,枪套
  8. RR=239 anchor_m=3 Swiss=11 | 伪装,燃烧响炮,大钢弩,加速烙刀,篝火,打火机
  9. RR=237 anchor_m=-9 Swiss=11 | 伪装,燃烧响炮,绵鳚,加速烙刀,篝火,打火机,枪套
  10. RR=217 anchor_m=18 Swiss=10 | 十手,伪装,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀,枪套
  11. RR=227 anchor_m=-8 Swiss=10 | 伪装,藏刃匕首,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀,枪套
  12. RR=216 anchor_m=-4 Swiss=11 | 伪装,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀,葡萄弹,枪套
  13. RR=211 anchor_m=-1 Swiss=10 | 伪装,手斧,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀,枪套
  14. RR=211 anchor_m=-3 Swiss=10 | 伪装,燃烧响炮,拍立蚌,加速烙刀,绵鳚,篝火,打火机
  15. RR=195 anchor_m=22 Swiss=10 | 伪装,燃烧响炮,拍立蚌,燃烧子弹,加速烙刀,篝火,打火机
  16. RR=209 anchor_m=-7 Swiss=10 | 伪装,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀,枪套,淬锋钢
  17. RR=201 anchor_m=3 Swiss=10 | 理查森先生,伪装,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀,枪套
  18. RR=201 anchor_m=2 Swiss=10 | 流星索,伪装,燃烧响炮,加速烙刀,绵鳚,篝火,打火机
