# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 三花
[GDF] size=10 top 20
  1. RR=278 anchor_m=6 Swiss=11 | 燃烧响炮,淬锋钢,燃烧子弹,打火机,篝火,绵鳚,加速烙刀,三花
  2. RR=231 anchor_m=99 Swiss=10 | 燃烧响炮,淬锋钢,燃烧子弹,打火机,绵鳚,加速烙刀,三花,小冰镐,枪套
  3. RR=232 anchor_m=92 Swiss=11 | 燃烧响炮,淬锋钢,燃烧子弹,打火机,绵鳚,加速烙刀,三花,流星索,枪套
  4. RR=204 anchor_m=133 Swiss=11 | 燃烧响炮,淬锋钢,燃烧子弹,打火机,绵鳚,加速烙刀,飞鱼,三花,枪套
  5. RR=227 anchor_m=80 Swiss=10 | 燃烧响炮,淬锋钢,燃烧子弹,打火机,绵鳚,加速烙刀,藏刃匕首,三花,枪套
  6. RR=205 anchor_m=120 Swiss=10 | 燃烧响炮,淬锋钢,燃烧子弹,打火机,绵鳚,加速烙刀,手雷,三花,枪套
  7. RR=240 anchor_m=46 Swiss=11 | 燃烧响炮,小冰镐,加速烙刀,绵鳚,潜水配重,打火机,枪套,三花,藏刃匕首
  8. RR=218 anchor_m=81 Swiss=11 | 燃烧响炮,小冰镐,加速烙刀,绵鳚,打火机,枪套,三花,藏刃匕首,珊瑚
  9. RR=231 anchor_m=46 Swiss=10 | 燃烧响炮,淬锋钢,燃烧子弹,打火机,潜水配重,绵鳚,加速烙刀,三花,枪套
  10. RR=200 anchor_m=107 Swiss=10 | 燃烧响炮,淬锋钢,燃烧子弹,打火机,绵鳚,加速烙刀,三花,枪套,葡萄弹
  11. RR=194 anchor_m=110 Swiss=10 | 燃烧响炮,淬锋钢,燃烧子弹,打火机,绵鳚,加速烙刀,三花,靴里剑,枪套
  12. RR=203 anchor_m=86 Swiss=10 | 拍立蚌,燃烧响炮,淬锋钢,燃烧子弹,打火机,绵鳚,加速烙刀,三花,枪套
  13. RR=194 anchor_m=103 Swiss=9 | 燃烧响炮,淬锋钢,燃烧子弹,打火机,绵鳚,加速烙刀,三花,枪套,手斧
  14. RR=203 anchor_m=83 Swiss=10 | 燃烧响炮,小冰镐,加速烙刀,绵鳚,打火机,流星索,枪套,三花,藏刃匕首
  15. RR=191 anchor_m=75 Swiss=11 | 手斧,燃烧响炮,小冰镐,加速烙刀,绵鳚,打火机,枪套,三花,藏刃匕首
  16. RR=187 anchor_m=82 Swiss=10 | 燃烧响炮,淬锋钢,燃烧子弹,打火机,绵鳚,加速烙刀,三花,枪套,套娃
  17. RR=180 anchor_m=91 Swiss=10 | 燃烧响炮,小冰镐,加速烙刀,绵鳚,打火机,套娃,枪套,三花,藏刃匕首
  18. RR=169 anchor_m=109 Swiss=10 | 燃烧响炮,淬锋钢,燃烧子弹,打火机,绵鳚,加速烙刀,三花,枪套,手里剑
  19. RR=163 anchor_m=116 Swiss=10 | 燃烧响炮,淬锋钢,燃烧子弹,打火机,绵鳚,加速烙刀,盐钳海盗,三花,枪套
  20. RR=174 anchor_m=67 Swiss=10 | 蔻森娜纹章,燃烧响炮,小冰镐,加速烙刀,绵鳚,打火机,枪套,三花,藏刃匕首

[GDF] seeds: 伪装
[GDF] size=10 top 20
  1. RR=291 anchor_m=-2 Swiss=11 | 加速烙刀,绵鳚,篝火,打火机,燃烧子弹,燃烧响炮,伪装
  2. RR=268 anchor_m=1 Swiss=11 | 枪套,加速烙刀,绵鳚,篝火,打火机,燃烧响炮,伪装
  3. RR=259 anchor_m=5 Swiss=11 | 加速烙刀,绵鳚,篝火,打火机,燃烧响炮,烈酒杯,伪装
  4. RR=263 anchor_m=-4 Swiss=11 | 珊瑚,加速烙刀,篝火,打火机,燃烧子弹,燃烧响炮,伪装
  5. RR=247 anchor_m=15 Swiss=11 | 烈酒杯,加速烙刀,篝火,打火机,燃烧子弹,燃烧响炮,伪装
  6. RR=245 anchor_m=8 Swiss=11 | 加速烙刀,篝火,打火机,珊瑚,绵鳚,燃烧响炮,伪装
  7. RR=242 anchor_m=12 Swiss=10 | 篝火,毒须鲶,打火机,绵鳚,燃烧响炮,伪装,大钢弩
  8. RR=249 anchor_m=-5 Swiss=10 | 加速烙刀,篝火,打火机,燃烧子弹,燃烧响炮,伪装,枪套
  9. RR=239 anchor_m=6 Swiss=11 | 流星索,加速烙刀,篝火,打火机,燃烧子弹,燃烧响炮,伪装
  10. RR=221 anchor_m=5 Swiss=10 | 加速烙刀,篝火,打火机,燃烧子弹,燃烧响炮,藏刃匕首,伪装
  11. RR=207 anchor_m=17 Swiss=10 | 葡萄弹,加速烙刀,篝火,打火机,燃烧子弹,燃烧响炮,伪装
  12. RR=206 anchor_m=2 Swiss=10 | 加速烙刀,绵鳚,篝火,打火机,燃烧响炮,伪装,藏刃匕首
  13. RR=199 anchor_m=4 Swiss=10 | 加速烙刀,篝火,打火机,燃烧子弹,燃烧响炮,蔻森娜纹章,伪装
  14. RR=193 anchor_m=16 Swiss=10 | 加速烙刀,绵鳚,篝火,打火机,蔻森娜纹章,燃烧响炮,伪装
  15. RR=197 anchor_m=5 Swiss=10 | 加速烙刀,绵鳚,篝火,打火机,燃烧响炮,淬锋钢,伪装
  16. RR=186 anchor_m=7 Swiss=10 | 加速烙刀,绵鳚,篝火,打火机,手斧,燃烧响炮,伪装
  17. RR=187 anchor_m=3 Swiss=10 | 淬锋钢,加速烙刀,篝火,打火机,燃烧子弹,燃烧响炮,伪装
  18. RR=178 anchor_m=20 Swiss=10 | 集成式HUD,加速烙刀,绵鳚,篝火,打火机,燃烧响炮,伪装
  19. RR=200 anchor_m=-25 Swiss=10 | 加速烙刀,篝火,打火机,燃烧子弹,燃烧响炮,伪装,小冰镐
  20. RR=183 anchor_m=2 Swiss=10 | 加速烙刀,篝火,打火机,燃烧响炮,燃烧子弹,拍立蚌,伪装

[GDF] seeds: 元素深水炸弹
[GDF] size=10 top 20
  1. RR=214 anchor_m=214 Swiss=11 | 拍立蚌,海螺壳,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,小冰镐
  2. RR=183 anchor_m=183 Swiss=10 | 水草,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,小冰镐,鱼饵
  3. RR=183 anchor_m=183 Swiss=11 | 拍立蚌,皮皮虾,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,理查森先生,小冰镐
  4. RR=182 anchor_m=182 Swiss=9 | 珊瑚,水草,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,小冰镐
  5. RR=179 anchor_m=179 Swiss=9 | 拍立蚌,水草,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,理查森先生,小冰镐
  6. RR=177 anchor_m=177 Swiss=11 | 绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,拍立蚌,流星索,小冰镐
  7. RR=175 anchor_m=175 Swiss=10 | 拍立蚌,潜水配重,海螺壳,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,小冰镐
  8. RR=172 anchor_m=172 Swiss=10 | 小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,海螺壳,珍珠,龙涎香
  9. RR=171 anchor_m=171 Swiss=10 | 小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,海螺壳,潜水配重,珍珠,龙涎香
  10. RR=165 anchor_m=165 Swiss=10 | 水草,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,盐钳海盗,鱼饵,小冰镐
  11. RR=164 anchor_m=164 Swiss=10 | 拍立蚌,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,盐钳海盗,小冰镐,珊瑚
  12. RR=164 anchor_m=164 Swiss=10 | 水草,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,海螺壳,珊瑚,小冰镐
  13. RR=163 anchor_m=163 Swiss=10 | 珊瑚,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,小冰镐,海螺壳
