# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 三花
[GDF] size=10 top 20
  1. RR=279 anchor_m=7 Swiss=11 | 加速烙刀,绵鳚,篝火,打火机,大钢弩,三花,燃烧响炮
  2. RR=264 anchor_m=62 Swiss=10 | 加速烙刀,篝火,打火机,燃烧子弹,三花,绵鳚,珊瑚,燃烧响炮
  3. RR=198 anchor_m=174 Swiss=10 | 加速烙刀,篝火,枪套,打火机,大钢弩,三花,燃烧响炮
  4. RR=245 anchor_m=80 Swiss=10 | 加速烙刀,绵鳚,篝火,打火机,三花,燃烧响炮,枪套,珊瑚
  5. RR=227 anchor_m=69 Swiss=10 | 加速烙刀,篝火,打火机,燃烧子弹,套娃,三花,燃烧响炮,枪套
  6. RR=243 anchor_m=31 Swiss=10 | 加速烙刀,篝火,打火机,燃烧子弹,拍立蚌,三花,绵鳚,燃烧响炮
  7. RR=225 anchor_m=50 Swiss=11 | 加速烙刀,篝火,打火机,枪套,三花,燃烧响炮,绵鳚,小冰镐
  8. RR=246 anchor_m=6 Swiss=10 | 加速烙刀,篝火,打火机,燃烧子弹,套娃,三花,绵鳚,燃烧响炮
  9. RR=259 anchor_m=-28 Swiss=11 | 篝火,毒须鲶,燃烧子弹,打火机,绵鳚,三花,燃烧响炮,大钢弩
  10. RR=230 anchor_m=26 Swiss=10 | 加速烙刀,绵鳚,篝火,打火机,燃烧子弹,流星索,三花,燃烧响炮
  11. RR=255 anchor_m=-25 Swiss=11 | 加速烙刀,篝火,打火机,燃烧子弹,三花,燃烧响炮,大钢弩
  12. RR=209 anchor_m=64 Swiss=10 | 加速烙刀,绵鳚,篝火,打火机,燃烧子弹,三花,枪套,燃烧响炮
  13. RR=238 anchor_m=1 Swiss=11 | 加速烙刀,篝火,打火机,燃烧子弹,三花,理查森先生,绵鳚,燃烧响炮
  14. RR=202 anchor_m=70 Swiss=10 | 加速烙刀,篝火,打火机,燃烧子弹,三花,绵鳚,燃烧响炮,蔻森娜纹章
  15. RR=217 anchor_m=38 Swiss=10 | 篝火,毒须鲶,燃烧子弹,打火机,绵鳚,加速烙刀,三花,燃烧响炮
  16. RR=235 anchor_m=0 Swiss=11 | 加速烙刀,篝火,打火机,燃烧子弹,淬锋钢,三花,绵鳚,燃烧响炮
  17. RR=184 anchor_m=97 Swiss=10 | 加速烙刀,篝火,打火机,燃烧子弹,三花,绵鳚,燃烧响炮,手斧
  18. RR=182 anchor_m=90 Swiss=10 | 加速烙刀,绵鳚,篝火,打火机,流星索,三花,燃烧响炮,枪套
  19. RR=188 anchor_m=34 Swiss=10 | 加速烙刀,篝火,打火机,烈酒杯,三花,大钢弩,燃烧响炮
  20. RR=153 anchor_m=102 Swiss=10 | 加速烙刀,绵鳚,篝火,打火机,拍立蚌,三花,燃烧响炮,枪套

[GDF] seeds: 伪装
[GDF] size=10 top 20
  1. RR=223 anchor_m=21 Swiss=11 | 伪装,珊瑚,小冰镐,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚
  2. RR=214 anchor_m=20 Swiss=11 | 水草,伪装,小冰镐,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚
  3. RR=212 anchor_m=17 Swiss=10 | 伪装,小冰镐,珊瑚,飞鱼,水母,雪怪蟹,元素深水炸弹,绵鳚
  4. RR=203 anchor_m=-1 Swiss=10 | 伪装,小冰镐,飞鱼,水母,雪怪蟹,元素深水炸弹,绵鳚,水草
  5. RR=195 anchor_m=3 Swiss=10 | 伪装,小冰镐,飞鱼,水母,雪怪蟹,元素深水炸弹,绵鳚,海螺壳
  6. RR=191 anchor_m=10 Swiss=10 | 伪装,小冰镐,盐钳海盗,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚
  7. RR=189 anchor_m=11 Swiss=10 | 水草,伪装,小冰镐,绵鳚,潜水配重,毒须鲶,雪怪蟹,元素深水炸弹
  8. RR=200 anchor_m=-13 Swiss=10 | 伪装,小冰镐,拍立蚌,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚
  9. RR=195 anchor_m=-4 Swiss=11 | 伪装,小冰镐,绵鳚,毒须鲶,雪怪蟹,元素深水炸弹,珊瑚,潜水配重
  10. RR=186 anchor_m=14 Swiss=10 | 伪装,小冰镐,飞鱼,水母,雪怪蟹,元素深水炸弹,绵鳚,潜水配重
  11. RR=189 anchor_m=2 Swiss=10 | 伪装,小冰镐,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚,龙涎香
  12. RR=178 anchor_m=18 Swiss=10 | 伪装,小冰镐,绵鳚,毒须鲶,雪怪蟹,元素深水炸弹,珊瑚,水草
  13. RR=182 anchor_m=8 Swiss=10 | 伪装,小冰镐,飞鱼,拍立蚌,水母,雪怪蟹,元素深水炸弹,绵鳚
  14. RR=177 anchor_m=17 Swiss=11 | 伪装,理查森先生,小冰镐,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚
  15. RR=190 anchor_m=-14 Swiss=10 | 伪装,小冰镐,珍珠,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚
  16. RR=178 anchor_m=-9 Swiss=11 | 海螺壳,伪装,小冰镐,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚
  17. RR=171 anchor_m=5 Swiss=10 | 鱼饵,伪装,小冰镐,飞鱼,水母,雪怪蟹,元素深水炸弹,绵鳚
  18. RR=173 anchor_m=-2 Swiss=10 | 伪装,小冰镐,珍珠,飞鱼,水母,雪怪蟹,元素深水炸弹,绵鳚
  19. RR=162 anchor_m=14 Swiss=10 | 伪装,小冰镐,水草,珊瑚,潜水配重,毒须鲶,雪怪蟹,元素深水炸弹
  20. RR=167 anchor_m=0 Swiss=10 | 水草,伪装,小冰镐,拍立蚌,潜水配重,水母,雪怪蟹,元素深水炸弹

[GDF] seeds: 元素深水炸弹
[GDF] size=10 top 20
  1. RR=188 anchor_m=188 Swiss=11 | 皮皮虾,珊瑚,拍立蚌,水母,迷幻蝠鲼,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  2. RR=184 anchor_m=184 Swiss=10 | 拍立蚌,鱼饵,潜水配重,珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  3. RR=183 anchor_m=183 Swiss=10 | 皮皮虾,拍立蚌,水母,迷幻蝠鲼,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,海螺壳
  4. RR=181 anchor_m=181 Swiss=9 | 拍立蚌,海螺壳,潜水配重,珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  5. RR=180 anchor_m=180 Swiss=10 | 拍立蚌,水草,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,珊瑚
  6. RR=179 anchor_m=179 Swiss=10 | 皮皮虾,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,珊瑚,水草
  7. RR=176 anchor_m=176 Swiss=9 | 皮皮虾,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚,水草,小冰镐,鱼饵
  8. RR=175 anchor_m=175 Swiss=11 | 海螺壳,水草,潜水配重,拍立蚌,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  9. RR=174 anchor_m=174 Swiss=11 | 理查森先生,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,拍立蚌,水草
  10. RR=173 anchor_m=173 Swiss=11 | 珊瑚,海螺壳,水草,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  11. RR=173 anchor_m=173 Swiss=9 | 鱼饵,珊瑚,海螺壳,拍立蚌,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  12. RR=172 anchor_m=172 Swiss=11 | 珍珠,皮皮虾,拍立蚌,水母,迷幻蝠鲼,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  13. RR=172 anchor_m=172 Swiss=10 | 鱼饵,海螺壳,水草,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  14. RR=170 anchor_m=170 Swiss=10 | 鱼饵,潜水配重,海螺壳,拍立蚌,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  15. RR=169 anchor_m=169 Swiss=10 | 拍立蚌,水草,潜水配重,盐钳海盗,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  16. RR=167 anchor_m=167 Swiss=11 | 理查森先生,皮皮虾,拍立蚌,水母,迷幻蝠鲼,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  17. RR=165 anchor_m=165 Swiss=10 | 迷幻蝠鲼,盐钳海盗,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,拍立蚌
  18. RR=162 anchor_m=162 Swiss=9 | 皮皮虾,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,吸血章鱼,鱼饵
  19. RR=159 anchor_m=159 Swiss=10 | 龙涎香,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,拍立蚌,水草
  20. RR=158 anchor_m=158 Swiss=9 | 鱼饵,拍立蚌,珍珠,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,飞鱼

[GDF] seeds: 六分仪
[GDF] size=10 top 20
  1. RR=265 anchor_m=262 Swiss=10 | 吸血章鱼,水车,潜水配重,六分仪,牌桌,淬锋钢
  2. RR=247 anchor_m=247 Swiss=11 | 吸血章鱼,水车,潜水配重,六分仪,拍立蚌,牌桌
  3. RR=244 anchor_m=244 Swiss=10 | 集成式HUD,吸血章鱼,水车,潜水配重,六分仪,牌桌
