final_rank,signature,total_points,matchup_wins,matchup_draws,matchup_losses
1,"救生圈,马龙鱼,水草,淬锋钢",2346,25,0,1
2,"绵鳚,步枪,填弹杆,手雷",2040,20,0,6
3,"毒须鲶,绵鳚,迷幻蝠鲼,皮皮虾,水草,海螺壳",2036,21,0,5
4,"打火机,绵鳚,燃烧响炮,火炮,葡萄弹",1912,19,0,7
5,"流星索,手斧,鲨齿爪,葡萄弹,靴里剑",1909,19,0,7
6,"靴里剑,火药角,手雷,手斧,流星索,葡萄弹",1817,20,0,6
7,"燃烧响炮,流星索,皮皮虾,鹦鹉皮特,绵鳚,打火机",1815,19,0,7
8,"舱底蠕虫,手斧,弹簧刀,马龙鱼,淬锋钢",1806,19,0,7
9,"救生圈,淬锋钢,火药角,步枪",1784,18,0,8
10,"水草,独角鲸,弹簧刀,马龙鱼,淬锋钢",1720,17,0,9
11,"舱底蠕虫,手斧,葡萄弹,弹簧刀,左轮手枪,淬锋钢",1708,15,0,11
12,"靴里剑,手斧,弹簧刀,武士刀,淬锋钢",1549,16,0,10
13,"淬锋钢,弹簧刀,马龙鱼,沙滩充气球",1455,14,0,12
14,"独角鲸,鲨齿爪,手斧,靴里剑,淬锋钢",1384,13,0,13
15,"珊瑚,水母,雪怪蟹,毒须鲶,绵鳚,水草",1324,15,0,11
16,"淬锋钢,飞鱼,水母,马龙鱼,水草",1051,10,0,16
17,"火药角,双管霰弹枪,弹簧刀,葡萄弹,手斧",1003,11,0,15
18,"雪怪蟹,毒须鲶,绵鳚,水草,救生圈",990,9,0,17
19,"狼筅,火药角,手雷,葡萄弹,手斧",923,8,0,18
20,"马龙鱼,弹簧刀,飞鱼,淬锋钢,雪怪蟹",904,9,0,17
21,"舱底蠕虫,手斧,淬锋钢,火药角,双管霰弹枪",826,8,0,18
22,"舱底蠕虫,流星索,手斧,淬锋钢,弯刀",818,9,0,17
23,"水草,沙滩充气球,绵鳚,毒须鲶,藏刃匕首",588,4,0,22
24,"藏刃匕首,舱底蠕虫,毒须鲶,淬锋钢,沙滩充气球",522,5,0,21
25,"水母,迷幻蝠鲼,水草,淬锋钢,弯刀",467,4,0,22
26,"葡萄弹,淬锋钢,手斧,狼筅,左轮手枪",258,2,0,24
27,"手斧,弹簧刀,独角鲸,沙滩充气球,淬锋钢",145,2,0,24
