from_sig,to_sig,weight,games
"手斧,鲨齿爪,火药角,双管霰弹枪,弹簧刀,葡萄弹","鲨齿爪,火药角,双管霰弹枪,弹簧刀,葡萄弹,靴里剑",1,100
"手斧,左轮手枪,靴里剑,三花,鲨齿爪,葡萄弹,舱底蠕虫","三花,左轮手枪,弹簧刀,鲨齿爪,舱底蠕虫,手斧,葡萄弹",0.58000000000000007,100
"三花,左轮手枪,弹簧刀,鲨齿爪,舱底蠕虫,手斧,葡萄弹","鲨齿爪,三花,葡萄弹,手斧,左轮手枪,弹簧刀,独角鲸",0.10000000000000009,100
"鲨齿爪,舱底蠕虫,手斧,左轮手枪,弹簧刀,独角鲸,葡萄弹","三花,左轮手枪,弹簧刀,鲨齿爪,舱底蠕虫,手斧,葡萄弹",0.044000000000000039,1000
"三花,左轮手枪,弹簧刀,鲨齿爪,舱底蠕虫,手斧,葡萄弹","鲨齿爪,舱底蠕虫,靴里剑,手斧,左轮手枪,弹簧刀,独角鲸",0.05600000000000005,1000
"靴里剑,鲨齿爪,葡萄弹,手斧,独角鲸,弹簧刀,左轮手枪","三花,左轮手枪,弹簧刀,鲨齿爪,舱底蠕虫,手斧,葡萄弹",0.47999999999999998,100
"舱底蠕虫,手斧,葡萄弹,鲨齿爪,左轮手枪,飞鱼,淬锋钢","三花,左轮手枪,弹簧刀,鲨齿爪,舱底蠕虫,手斧,葡萄弹",0.84000000000000008,100
"舱底蠕虫,鲨齿爪,手斧,左轮手枪,弹簧刀,独角鲸,淬锋钢","三花,左轮手枪,弹簧刀,鲨齿爪,舱底蠕虫,手斧,葡萄弹",0.91999999999999993,100
"靴里剑,流星索,手斧,葡萄弹,弹簧刀,左轮手枪,鲨齿爪","三花,左轮手枪,弹簧刀,鲨齿爪,舱底蠕虫,手斧,葡萄弹",0.97999999999999998,100
"舱底蠕虫,靴里剑,手斧,葡萄弹,弹簧刀,左轮手枪,鲨齿爪","三花,左轮手枪,弹簧刀,鲨齿爪,舱底蠕虫,手斧,葡萄弹",0.82000000000000006,100
