index,signature
0,"鲨齿爪,火药角,双管霰弹枪,弹簧刀,葡萄弹,靴里剑"
1,"三花,左轮手枪,弹簧刀,鲨齿爪,舱底蠕虫,手斧,葡萄弹"
2,"燃烧响炮,打火机,绵鳚,海底热泉,狼筅,珊瑚"
3,"沙滩充气球,马龙鱼,绵鳚,毒须鲶,水草,淬锋钢"
4,"手斧,左轮手枪,靴里剑,三花,鲨齿爪,葡萄弹,舱底蠕虫"
5,"手斧,鲨齿爪,靴里剑,流星索,左轮手枪,刺刀,葡萄弹"
6,"流星索,鲨齿爪,手斧,弹簧刀,武士刀,刺刀"
7,"舱底蠕虫,手斧,淬锋钢,飞鱼,鲨齿爪,马龙鱼"
8,"珊瑚,珍珠,水母,雪怪蟹,毒须鲶,绵鳚,水草,海螺壳"
9,"鲨齿爪,三花,葡萄弹,手斧,左轮手枪,弹簧刀,独角鲸"
10,"流星索,葡萄弹,手斧,鲨齿爪,独角鲸,刺刀,靴里剑"
11,"手斧,靴里剑,鲨齿爪,流星索,葡萄弹,迷你弯刀,刺刀"
12,"淬锋钢,飞鱼,鲨齿爪,救生圈,马龙鱼"
13,"鲨齿爪,舱底蠕虫,手斧,左轮手枪,弹簧刀,独角鲸,葡萄弹"
14,"手斧,鲨齿爪,火药角,双管霰弹枪,弹簧刀,葡萄弹"
15,"靴里剑,鲨齿爪,淬锋钢,飞鱼,弹簧刀,马龙鱼"
16,"水草,燃烧响炮,流星索,皮皮虾,迷幻蝠鲼,鹦鹉皮特,绵鳚,打火机"
17,"珊瑚,淬锋钢,火药角,双管霰弹枪,弹簧刀,葡萄弹,手斧"
18,"珊瑚,鱼饵,水母,雪怪蟹,毒须鲶,绵鳚,水草,海螺壳"
19,"救生圈,淬锋钢,步枪,填弹杆,手雷"
20,"手雷,填弹杆,步枪,手斧,葡萄弹,流星索"
21,"水草,燃烧响炮,木桶,打火机,绵鳚,海底热泉"
22,"燃烧响炮,海底热泉,绵鳚,打火机,水草,淬锋钢,海螺壳"
23,"鲨齿爪,舱底蠕虫,靴里剑,手斧,左轮手枪,弹簧刀,独角鲸"
24,"手雷,填弹杆,步枪,弹簧刀,葡萄弹,手斧"
25,"靴里剑,鲨齿爪,葡萄弹,手斧,独角鲸,弹簧刀,左轮手枪"
26,"舱底蠕虫,手斧,葡萄弹,鲨齿爪,左轮手枪,飞鱼,淬锋钢"
27,"珊瑚,迷幻蝠鲼,马龙鱼,弹簧刀,弯刀,淬锋钢"
28,"湿件战服,马龙鱼,弹簧刀,武士刀,淬锋钢"
29,"舱底蠕虫,手斧,鲨齿爪,绵鳚,弯刀,淬锋钢"
30,"舱底蠕虫,流星索,手斧,鲨齿爪,弯刀,淬锋钢"
31,"舱底蠕虫,鲨齿爪,手斧,左轮手枪,弹簧刀,独角鲸,淬锋钢"
