order,node_index,signature
0,12,"淬锋钢,飞鱼,鲨齿爪,救生圈,马龙鱼"
1,14,"手斧,鲨齿爪,火药角,双管霰弹枪,弹簧刀,葡萄弹"
2,18,"海螺壳,珊瑚,水草,绵鳚,毒须鲶,雪怪蟹,水母,鱼饵"
3,19,"救生圈,淬锋钢,步枪,填弹杆,手雷"
4,20,"手雷,填弹杆,步枪,手斧,葡萄弹,流星索"
5,21,"水草,燃烧响炮,木桶,打火机,绵鳚,海底热泉"
6,28,"湿件战服,马龙鱼,弹簧刀,武士刀,淬锋钢"
7,42,"打火机,珊瑚,钓鱼竿,毒须鲶,绵鳚,水草,鱼饵"
8,43,"淬锋钢,舱底蠕虫,手雷,填弹杆,步枪,珊瑚"
9,48,"海螺壳,飞鱼,手斧,淬锋钢,绵鳚,马龙鱼,水草"
10,49,"救生圈,燃烧响炮,火药角,火炮,绵鳚,打火机"
11,60,"靴里剑,手斧,淬锋钢,葡萄弹,绵鳚,火药角,步枪"
12,61,"手斧,火药角,手雷,葡萄弹,弹簧刀,马龙鱼,淬锋钢"
13,65,"燃烧响炮,皮皮虾,迷幻蝠鲼,鹦鹉皮特,绵鳚,海底热泉,打火机"
14,66,"珍珠,水草,海螺壳,珊瑚护甲,绵鳚,迷幻蝠鲼,皮皮虾"
15,57,"燃烧响炮,淬锋钢,火药角,火炮,绵鳚,打火机,珊瑚"
16,74,"打火机,绵鳚,迷幻蝠鲼,鹦鹉皮特,皮皮虾,水草,海螺壳,燃烧响炮"
17,6,"流星索,鲨齿爪,手斧,弹簧刀,武士刀,刺刀"
18,7,"舱底蠕虫,手斧,淬锋钢,飞鱼,鲨齿爪,马龙鱼"
19,34,"靴里剑,流星索,手斧,葡萄弹,弹簧刀,左轮手枪,鲨齿爪"
