item_rank,item,anchor,alpha_ij
1,鲨齿爪,三花,1
1,鲨齿爪,刺刀,1
1,鲨齿爪,宠物石,1
1,鲨齿爪,左轮手枪,1
1,鲨齿爪,弹簧刀,1
1,鲨齿爪,手斧,1
1,鲨齿爪,抓钩,1
1,鲨齿爪,救生圈,1
1,鲨齿爪,武士刀,1
1,鲨齿爪,水草,1
1,鲨齿爪,淬锋钢,1
1,鲨齿爪,湿件战服,1
1,鲨齿爪,独角鲸,1
1,鲨齿爪,珊瑚,1
1,鲨齿爪,藏刃匕首,1
1,鲨齿爪,迷你弯刀,1
1,鲨齿爪,靴里剑,1
1,鲨齿爪,飞鱼,1
1,鲨齿爪,食人鱼,1
1,鲨齿爪,马龙鱼,1
1,鲨齿爪,鱼饵,1
1,鲨齿爪,龙涎香,1
1,鲨齿爪,双管霰弹枪,0.98146984689837324
1,鲨齿爪,舱底蠕虫,0.97473160940687253
1,鲨齿爪,弯刀,0.97220477034755981
1,鲨齿爪,海螺壳,0.92703752216234447
1,鲨齿爪,手里剑,0.90451208186386578
1,鲨齿爪,渔网,0.89912196684041312
1,鲨齿爪,珍珠,0.88418654311483247
1,鲨齿爪,木桶,0.8817499483076382
1,鲨齿爪,填弹杆,0.83094400565760851
1,鲨齿爪,珊瑚护甲,0.7833783429257104
1,鲨齿爪,手雷,0.73310816567381798
1,鲨齿爪,绵鳚,0.73285695945154705
1,鲨齿爪,葡萄弹,0.72577331340442397
1,鲨齿爪,水母,0.70158732609255181
1,鲨齿爪,铲子,0.68603768935097931
1,鲨齿爪,鹦鹉皮特,0.67776529957346743
1,鲨齿爪,狼筅,0.63539818073333199
1,鲨齿爪,沙滩充气球,0.55204414448596451
1,鲨齿爪,星图,0.46936845411048067
1,鲨齿爪,流星索,0.46126845399406657
1,鲨齿爪,步枪,0.32924111314497584
1,鲨齿爪,温馨海湾,0.15634816679497593
1,鲨齿爪,迷幻蝠鲼,0.090470747496177811
1,鲨齿爪,打火机,0
1,鲨齿爪,毒须鲶,0
1,鲨齿爪,海底热泉,0
1,鲨齿爪,火炮,0
1,鲨齿爪,火药角,0
1,鲨齿爪,燃烧响炮,0
1,鲨齿爪,皮皮虾,0
1,鲨齿爪,钓鱼竿,0
1,鲨齿爪,雪怪蟹,0
2,淬锋钢,三花,1
2,淬锋钢,左轮手枪,1
2,淬锋钢,弯刀,1
2,淬锋钢,手里剑,1
2,淬锋钢,抓钩,1
