rank,anchor,specialty
1,填弹杆,1
1,武士刀,1
1,火炮,1
1,马龙鱼,1
1,鲨齿爪,1
6,步枪,0.99955670509798245
7,海底热泉,0.9872258437617043
8,双管霰弹枪,0.98697964766026525
9,狼筅,0.97143346342575754
10,绵鳚,0.95218564382974458
11,钓鱼竿,0.91346186338649027
12,手雷,0.90534884978581498
13,手斧,0.90247644797768234
14,迷幻蝠鲼,0.89774813106804208
15,刺刀,0.89328626817510615
16,皮皮虾,0.89266533239305534
17,弯刀,0.88094914299813964
18,弹簧刀,0.86640569812261525
19,淬锋钢,0.86133151160285448
20,迷你弯刀,0.79486897103802501
21,雪怪蟹,0.76708885608891242
22,救生圈,0.76058495614810773
23,毒须鲶,0.75426895405375505
24,飞鱼,0.72877113028606255
25,燃烧响炮,0.71453313671750163
26,左轮手枪,0.69070400854467962
27,沙滩充气球,0.68208549629065485
28,打火机,0.59353204910635593
29,流星索,0.52001393313369826
30,独角鲸,0.5112623362969535
31,三花,0.47710397812351529
32,靴里剑,0.476318051396869
33,水草,0.47549419730046133
34,湿件战服,0.44879334513805508
35,珊瑚,0.42488716492150319
36,火药角,0.39765645420824974
37,葡萄弹,0.39512345610897315
38,鹦鹉皮特,0.33833260913071489
39,木桶,0.33409061166096266
40,藏刃匕首,0.32699282111155731
41,铲子,0.31434763757354556
42,海螺壳,0.27193861388798179
43,水母,0.23741998072965723
44,手里剑,0.22469418850701631
45,宠物石,0.19179820377849818
46,珊瑚护甲,0.15664845483683554
47,温馨海湾,0.15609006932547489
48,食人鱼,0.13364539676733592
49,珍珠,0.090672031057711891
50,抓钩,0.090254053604555934
51,舱底蠕虫,0.056518736773330081
52,鱼饵,0.03532970338666605
53,龙涎香,0.019974623439986728
54,星图,0.019491968119333954
55,渔网,0.015107564929681936
