combo_key,representative_signature,cluster_size
"加速烙刀,大钢弩,救生圈,枪套,潜水配重,烈酒杯,绵鳚","大钢弩,烈酒杯,枪套,潜水配重,绵鳚,加速烙刀,救生圈",2
"填弹杆,套娃,步枪,水车,流星索,珊瑚","流星索,填弹杆,步枪,水车,套娃,珊瑚",1
"元素深水炸弹,小冰镐,拍立蚌,流星索,珊瑚,皮皮虾,绵鳚,迷幻蝠鲼,雪怪蟹","珊瑚,拍立蚌,流星索,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,皮皮虾,迷幻蝠鲼",1
"套娃,弯刀,水车,淬锋钢,珊瑚,码头缆索","淬锋钢,套娃,水车,弯刀,珊瑚,码头缆索",1
"元素深水炸弹,小冰镐,拍立蚌,水车,盐钳海盗,绵鳚,雪怪蟹","盐钳海盗,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,水车,拍立蚌",1
"元素深水炸弹,小冰镐,拍立蚌,水母,水草,潜水配重,珍珠,绵鳚,雪怪蟹","珍珠,潜水配重,拍立蚌,水母,雪怪蟹,元素深水炸弹,绵鳚,水草,小冰镐",1
"元素深水炸弹,小冰镐,毒须鲶,船舵,雪怪蟹,鸦巢","毒须鲶,雪怪蟹,元素深水炸弹,船舵,小冰镐,鸦巢",1
"加速烙刀,打火机,救生圈,燃烧响炮,燃烧子弹,篝火,绵鳚","燃烧响炮,燃烧子弹,打火机,篝火,绵鳚,加速烙刀,救生圈",2
"加速烙刀,打火机,救生圈,枪套,潜水配重,燃烧响炮,珊瑚,绵鳚","枪套,救生圈,燃烧响炮,打火机,珊瑚,潜水配重,绵鳚,加速烙刀",1
"双管霰弹枪,水车,淬锋钢,火药角,鸦巢","淬锋钢,水车,火药角,双管霰弹枪,鸦巢",1
"弯刀,水车,淬锋钢,珊瑚,理查森先生,码头缆索","淬锋钢,水车,弯刀,理查森先生,珊瑚,码头缆索",1
"小冰镐,带刃悬浮板,手斧,手里剑,流星索,淬锋钢,深潜器,潜水配重","手斧,小冰镐,流星索,淬锋钢,手里剑,带刃悬浮板,潜水配重,深潜器",1
"双管霰弹枪,小冰镐,水车,淬锋钢,火药角,珊瑚,理查森先生","小冰镐,淬锋钢,火药角,双管霰弹枪,水车,珊瑚,理查森先生",1
"刺刀,小冰镐,左轮手枪,手斧,手里剑,流星索,葡萄弹,靴里剑,鲨齿爪","流星索,靴里剑,手里剑,刺刀,葡萄弹,鲨齿爪,小冰镐,左轮手枪,手斧",1
"大钢弩,小冰镐,枪套,燃烧响炮,绵鳚,雪怪蟹,风暴瓶,飞镖发射器","飞镖发射器,枪套,大钢弩,雪怪蟹,风暴瓶,绵鳚,小冰镐,燃烧响炮",1
"双管霰弹枪,消音器,淬锋钢,潜水配重,火药角,珊瑚,鸦巢","潜水配重,珊瑚,淬锋钢,火药角,双管霰弹枪,消音器,鸦巢",1
"左轮手枪,带刃悬浮板,手斧,淬锋钢,湿件战服,潜水配重,独角鲸,舱底蠕虫","湿件战服,淬锋钢,带刃悬浮板,潜水配重,独角鲸,手斧,舱底蠕虫,左轮手枪",1
"加速烙刀,大钢弩,小冰镐,标枪,烈酒杯,燃烧响炮,绵鳚","燃烧响炮,加速烙刀,绵鳚,大钢弩,小冰镐,标枪,烈酒杯",1
"吸血章鱼,大钢弩,打火机,枪套,淬锋钢,燃烧响炮,燃烧子弹,篝火","燃烧响炮,淬锋钢,燃烧子弹,打火机,篝火,吸血章鱼,枪套,大钢弩",1
"六分仪,吸血章鱼,枪套,淬锋钢,潜水配重,炮弹,烈酒杯,牌桌","炮弹,烈酒杯,牌桌,淬锋钢,六分仪,潜水配重,吸血章鱼,枪套",1
"大钢弩,打火机,燃烧响炮,燃烧子弹,珊瑚,理查森先生,篝火,绵鳚","理查森先生,绵鳚,燃烧响炮,燃烧子弹,打火机,篝火,珊瑚,大钢弩",2
"吸血章鱼,大钢弩,套娃,打火机,淬锋钢,燃烧响炮,燃烧子弹,篝火","燃烧响炮,淬锋钢,套娃,燃烧子弹,打火机,篝火,吸血章鱼,大钢弩",1
"喷射摩托,小冰镐,潜水配重,潜行滑翔机,理查森先生,飞鱼","小冰镐,喷射摩托,理查森先生,潜行滑翔机,潜水配重,飞鱼",1
"套娃,弯刀,水车,淬锋钢,理查森先生,码头缆索","理查森先生,淬锋钢,水车,套娃,弯刀,码头缆索",1
"十手,拍立蚌,救生圈,流星索,炮弹,烈酒杯,牌桌,皮皮虾","十手,牌桌,皮皮虾,烈酒杯,炮弹,流星索,救生圈,拍立蚌",1
"喷射摩托,小冰镐,水草,潜水配重,潜行滑翔机,飞鱼","小冰镐,喷射摩托,潜行滑翔机,水草,潜水配重,飞鱼",1
