rank,item,generality
1,绵鳚,0.60025596911649726
2,燃烧响炮,0.48431978353909289
3,打火机,0.3956101877596549
4,大钢弩,0.39408064189216457
5,小冰镐,0.35165548546946929
6,枪套,0.31508766119066794
7,潜水配重,0.28486754370073814
8,淬锋钢,0.21623225535329768
9,篝火,0.2047583591014335
10,加速烙刀,0.19855179364971501
11,烈酒杯,0.18938775308448189
12,拍立蚌,0.18737467347197936
13,燃烧子弹,0.17194781256435365
14,救生圈,0.16578602190242916
15,珊瑚,0.14627726157317289
16,皮皮虾,0.14139695571813535
17,流星索,0.12553585302819792
18,十手,0.11074978457738868
19,雪怪蟹,0.10578059566223465
20,火药角,0.10223755025339933
21,手斧,0.093094945278217753
22,元素深水炸弹,0.09228227855608391
23,水母,0.08170414657009728
24,鱼雷,0.073408879374223412
25,带刃悬浮板,0.072934818368838195
26,吸血章鱼,0.065738064560186438
27,湿件战服,0.064547556026834402
28,理查森先生,0.062999750198686574
29,炮弹,0.060204361501889146
30,水车,0.058402528406078666
31,迷幻蝠鲼,0.053804359411775922
32,葡萄弹,0.05357439189667166
33,套娃,0.047982751750084013
34,深潜器,0.045141193995836368
35,六分仪,0.044585958422099975
36,手雷,0.043132167208825921
37,藏刃匕首,0.042990270755950161
38,海螺壳,0.041051967625509715
39,飞鱼,0.040394629894783853
40,珍珠,0.035280788093050575
41,毒须鲶,0.035240755784420444
42,水草,0.034447983869378335
43,手里剑,0.034207138810540931
44,蔻森娜纹章,0.031352437191347247
45,火炮,0.030346291548862852
46,舱底蠕虫,0.027204708105525343
47,填弹杆,0.026009812879476197
48,弹簧刀,0.023105345806707221
49,靴里剑,0.02302867265895615
50,标枪,0.020770435730851834
51,牌桌,0.01946078545419359
52,沙滩充气球,0.019379011177516767
53,独角鲸,0.018508378522775887
54,步枪,0.01748944110662861
55,盐钳海盗,0.016750709668249472
56,鸦巢,0.015739633396705418
57,船舵,0.015212932330321342
58,船首像,0.014874502601609422
59,刺刀,0.014827115128382893
60,码头缆索,0.013626120649030619
61,海影宝驹,0.013388342597797406
62,马龙鱼,0.013215018837488501
63,船长舱,0.01277466269893086
64,鱼饵,0.012690999831716872
65,左轮手枪,0.01215900515243756
66,消音器,0.011290687594502484
67,珊瑚护甲,0.0094812752407768992
68,潜行滑翔机,0.0089874739663873306
69,锁镰,0.0063041756771968042
70,抓钩,0.0058508404444955909
71,龙涎香,0.0056006650347329425
72,飞镖发射器,0.0042999068199222187
73,抛石机,0.0035833297438969207
74,喷射摩托,0.0035770892958831395
75,海底热泉,0.0033090347144320502
76,星盘,0.0024775298046850087
77,风暴瓶,0.0019960163872522999
78,鹦鹉皮特,0.0017763460104152275
79,集成式HUD,0.0017712715472956641
80,定制准镜,0.001709114998408559
81,迷你弯刀,0.0015430830897351451
82,三花,0.0013197910439566611
83,食人鱼,0.0012936946668843732
84,鳐鲨,0.00095495306554436272
85,双管霰弹枪,0.00069662229705363835
86,宠物石,0.00046696099882908361
87,恶鬼面具,0.00041797337823218307
88,火枪,0.00034356145104690798
89,鲨齿爪,0.00027090867107641491
90,武士刀,0.00024381780396877343
91,蝶剑,0.00014342223762869025
92,减速烙刀,0.00013545433553820746
93,深海弯刀,0.00012832515998356496
94,伪装,0
94,幽渊鮟鱇,0
94,弯刀,0
94,旗舰,0
94,星图,0
94,木桶,0
94,橘利安,0
94,河豚,0
94,海狗沙龙,0
94,渔网,0
94,温馨海湾,0
94,港口,0
94,潜艇,0
94,烙刀,0
94,狼筅,0
94,赛博铁尺,0
94,连发步枪,0
94,通缉海报,0
94,钓鱼竿,0
94,铲子,0
94,锁匣,0
94,鱼叉,0
