index,signature
0,"手术刀,鳄鱼眼泪,云精灵,香炉,蛇怪之牙,地刺陷阱"
1,"地刺陷阱,真菌孢子,毒蜥,剑杖,翡翠"
2,"蛇怪之牙,曲颈甑,鳄鱼眼泪,拆信刀,手术刀"
3,"彩虹药水,炼金梨缶,云精灵,翡翠,真菌孢子"
4,"鳄鱼眼泪,炼金梨缶,云精灵,翡翠,真菌孢子"
5,"毒芹,炼金梨缶,云精灵,翡翠,真菌孢子"
6,"真菌孢子,笔与墨,腐朽圣像,毒液注射,翡翠"
7,"拆信刀,蛇怪之牙,研钵与研杵,手术刀,地刺陷阱"
8,"剑杖,翡翠,真菌孢子,倒刺利爪,毒液"
9,"真菌孢子,翡翠,再生药水,炼金梨缶,碎瓶"
10,"翡翠,真菌孢子,倒刺利爪,毒液,毒液注射,彩虹药水"
11,"彩虹药水,剑杖,毒液注射,翡翠,真菌孢子"
12,"翡翠,和平铸箱,笔与墨,毒液,真菌孢子"
13,"和平铸箱,笔与墨,真菌孢子,翡翠,毒蜥"
14,"和平铸箱,真菌孢子,笔与墨,毒液,毒蜥"
15,"真菌孢子,倒刺利爪,毒液,翡翠,毒液注射,地刺陷阱"
16,"蜡烛,手术刀,蛇怪之牙,地刺陷阱,香炉"
17,"手术刀,魔法飞毯,蛇怪之牙,拆信刀,地刺陷阱"
18,"剧毒药水,翡翠,真菌孢子,地窖,毒液"
19,"笔与墨,真菌孢子,翡翠,地窖,毒液"
20,"翡翠,笔与墨,毒液,毒液注射,真菌孢子,黑玫瑰"
21,"真菌孢子,彩虹药水,炼金梨缶,碎瓶,翡翠"
22,"红宝石,鳄鱼眼泪,彩虹药水,萤火虫,昏睡药水,香炉"
23,"毒蜥,毒液注射,翡翠,真菌孢子,笔与墨,毒液"
24,"真菌孢子,彩虹药水,翡翠,地窖,毒液"
25,"真菌孢子,碎瓶,炼金梨缶,毒芹,翡翠"
26,"地刺陷阱,鳄鱼眼泪,蛇怪之牙,研钵与研杵,手术刀"
27,"红宝石,彩虹药水,鳄鱼眼泪,香炉,煅烧釜"
28,"翡翠,毒液注射,折射棱镜,嗅盐,彩虹药水"
29,"地刺陷阱,倒刺利爪,蛇怪之牙,研钵与研杵,手术刀"
30,"翡翠,真菌孢子,笔与墨,毒蜥,腐朽圣像"
31,"鳄鱼眼泪,香炉,毒液注射,折射棱镜,彩虹药水"
32,"毒液注射,翡翠,倒刺利爪,毒液,折射棱镜"
33,"蛇怪之牙,曲颈甑,鳄鱼眼泪,手术刀,香炉"
34,"红宝石,瓶装闪电,火焰药水,彩虹药水,萤火虫,香炉"
35,"水蛭,真菌孢子,毒液注射,倒刺利爪,毒液"
36,"毒液注射,水蛭,翡翠,倒刺利爪,毒液"
37,"毒蜥,曲颈甑,真菌孢子,翡翠,笔与墨"
38,"地刺陷阱,毒液注射,翡翠,鳄鱼眼泪,倒刺利爪,毒液"
39,"香炉,红宝石,永恒火炬,火焰药水,鳄鱼眼泪"
40,"毒液注射,鳄鱼眼泪,翡翠,真菌孢子,倒刺利爪,毒液"
41,"毒芹,毒液注射,翡翠,真菌孢子,倒刺利爪,毒液"
42,"真菌孢子,毒芹,炼金梨缶,彩虹药水,翡翠"
43,"彩虹药水,笔与墨,毒液,翡翠,毒芹,真菌孢子"
44,"彩虹药水,香炉,火焰药水,红宝石,永恒火炬"
45,"水蛭,倒刺利爪,毒液,地刺陷阱,翡翠"
46,"火焰药水,香炉,红宝石,瓶装闪电,永恒火炬"
47,"香炉,瓶装闪电,红宝石,煅烧釜,鳄鱼眼泪"
48,"红宝石,彩虹药水,瓶装闪电,香炉,煅烧釜"
49,"彩虹药水,炼金梨缶,瓶装闪电,翡翠,真菌孢子"
50,"翡翠,真菌孢子,毒芹,炼金梨缶,瓶装闪电"
51,"真菌孢子,瓶装闪电,炼金梨缶,再生药水,翡翠"
52,"毒液注射,真菌孢子,倒刺利爪,毒液,毒蜥,翡翠"
53,"熏香,蛇怪之牙,研钵与研杵,手术刀,地刺陷阱"
54,"毒液注射,彩虹药水,真菌孢子,翡翠,笔与墨,毒液"
55,"香炉,火焰药水,彩虹药水,鳄鱼眼泪,红宝石,萤火虫"
56,"红宝石,火焰药水,碎瓶,蜡烛,香炉"
57,"真菌孢子,翡翠,腐朽圣像,倒刺利爪,毒液"
58,"红宝石,彩虹药水,鳄鱼眼泪,碎瓶,萤火虫,香炉"
59,"瓶装闪电,红宝石,彩虹药水,蜡烛,香炉"
60,"火焰药水,蜡烛,香炉,蛇怪之牙,红宝石"
61,"手术刀,蛇怪之牙,贪婪渡鸦,地刺陷阱,香炉"
62,"蛇怪之牙,香炉,研钵与研杵,贪婪渡鸦"
63,"手术刀,翡翠,蛇怪之牙,贪婪渡鸦,地刺陷阱"
64,"颠茄,翡翠,真菌孢子,笔与墨,毒液"
65,"翡翠,颠茄,毒液注射,真菌孢子,笔与墨"
66,"真菌孢子,颠茄,翡翠,笔与墨,毒蜥"
67,"鳄鱼眼泪,彩虹药水,红宝石,萤火虫,香炉,瓶装闪电"
68,"彩虹药水,炼金梨缶,鳄鱼眼泪,香炉,红宝石"
69,"彩虹药水,炼金梨缶,鳄鱼眼泪,真菌孢子,翡翠"
70,"水蛭,彩虹药水,炼金梨缶,鳄鱼眼泪"
71,"真菌孢子,翡翠,彩虹药水,炼金梨缶,黑曜石碎片"
72,"真菌孢子,鳄鱼眼泪,炼金梨缶,黑曜石碎片,翡翠"
73,"真菌孢子,翡翠,黑曜石碎片,炼金梨缶,毒芹"
