final_rank,signature,total_points,matchup_wins,matchup_draws,matchup_losses
1,"红宝石,瓶装闪电,火焰药水,彩虹药水,萤火虫,香炉",2050,21,0,0
2,"火焰药水,蜡烛,香炉,蛇怪之牙,红宝石",1949,20,0,1
3,"红宝石,彩虹药水,鳄鱼眼泪,香炉,煅烧釜",1856,19,0,2
4,"地刺陷阱,毒液注射,翡翠,鳄鱼眼泪,倒刺利爪,毒液",1368,13,1,7
5,"彩虹药水,炼金梨缶,鳄鱼眼泪,香炉,红宝石",1252,15,0,6
6,"毒液注射,水蛭,翡翠,倒刺利爪,毒液",1242,11,1,9
7,"手术刀,魔法飞毯,蛇怪之牙,拆信刀,地刺陷阱",1168,11,0,10
8,"地刺陷阱,倒刺利爪,蛇怪之牙,研钵与研杵,手术刀",1142,13,0,8
9,"彩虹药水,炼金梨缶,云精灵,翡翠,真菌孢子",1102,10,1,10
10,"火焰药水,香炉,红宝石,瓶装闪电,永恒火炬",1082,11,0,10
11,"翡翠,和平铸箱,笔与墨,毒液,真菌孢子",1066,11,0,10
12,"蛇怪之牙,曲颈甑,鳄鱼眼泪,手术刀,香炉",1030,10,0,11
13,"手术刀,蛇怪之牙,贪婪渡鸦,地刺陷阱,香炉",987,10,1,10
14,"颠茄,翡翠,真菌孢子,笔与墨,毒液",958,10,0,11
15,"毒蜥,曲颈甑,真菌孢子,翡翠,笔与墨",901,9,0,12
16,"水蛭,彩虹药水,炼金梨缶,鳄鱼眼泪",892,8,0,13
17,"手术刀,鳄鱼眼泪,云精灵,香炉,蛇怪之牙,地刺陷阱",792,5,0,16
18,"地刺陷阱,真菌孢子,毒蜥,剑杖,翡翠",688,6,0,15
19,"鳄鱼眼泪,香炉,毒液注射,折射棱镜,彩虹药水",626,7,0,14
20,"蛇怪之牙,香炉,研钵与研杵,贪婪渡鸦",425,4,0,17
21,"剧毒药水,翡翠,真菌孢子,地窖,毒液",388,4,0,17
22,"真菌孢子,翡翠,腐朽圣像,倒刺利爪,毒液",136,1,0,20
