from_sig,to_sig,weight,games
"红宝石,火焰药水,彩虹药水,鳄鱼眼泪,香炉,煅烧釜,云精灵","火焰药水,红宝石,香炉,瓶装闪电,彩虹药水,煅烧釜,云精灵",0.54000000000000004,100
"煅烧釜,鳄鱼眼泪,瓶装闪电,红宝石,昏睡药水,彩虹药水,香炉","红宝石,火焰药水,彩虹药水,鳄鱼眼泪,香炉,煅烧釜,云精灵",0.93999999999999995,100
"彩虹药水,煅烧釜,昏睡药水,火焰药水,鳄鱼眼泪,红宝石,香炉","红宝石,火焰药水,彩虹药水,鳄鱼眼泪,香炉,煅烧釜,云精灵",1,100
"煅烧釜,香炉,红宝石,彩虹药水,萤火虫,火焰药水,瓶装闪电","红宝石,火焰药水,彩虹药水,鳄鱼眼泪,香炉,煅烧釜,云精灵",0.0060000000000000053,1000
"昏睡药水,彩虹药水,煅烧釜,鳄鱼眼泪,红宝石,香炉,萤火虫","红宝石,火焰药水,彩虹药水,鳄鱼眼泪,香炉,煅烧釜,云精灵",0.97999999999999998,100
"彩虹药水,炼金梨缶,毒芹,翡翠,水蛭,毒液注射","毒芹,炼金梨缶,剧毒药水,毒液注射,翡翠,水蛭",0.67999999999999994,100
"水蛭,真菌孢子,翡翠,彩虹药水,炼金梨缶,毒芹","毒芹,炼金梨缶,剧毒药水,毒液注射,翡翠,水蛭",0.52000000000000002,100
"真菌孢子,蜡烛,地刺陷阱,鳄鱼眼泪,彩虹药水,倒刺利爪,毒液","真菌孢子,倒刺利爪,毒液,彩虹药水,蜡烛,翡翠,毒液注射",0.87999999999999989,100
"真菌孢子,蜡烛,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液,香炉","真菌孢子,蜡烛,地刺陷阱,鳄鱼眼泪,彩虹药水,倒刺利爪,毒液",0.12000000000000011,100
"真菌孢子,蜡烛,火焰药水,地刺陷阱,鳄鱼眼泪,倒刺利爪,毒液","真菌孢子,蜡烛,地刺陷阱,鳄鱼眼泪,彩虹药水,倒刺利爪,毒液",0.26000000000000001,100
"真菌孢子,蜡烛,地刺陷阱,鳄鱼眼泪,彩虹药水,倒刺利爪,毒液","地刺陷阱,翡翠,真菌孢子,倒刺利爪,毒液,鳄鱼眼泪,蜡烛",0.69999999999999996,100
"真菌孢子,蜡烛,地刺陷阱,鳄鱼眼泪,彩虹药水,倒刺利爪,毒液","地刺陷阱,蜡烛,真菌孢子,倒刺利爪,毒液,毒液注射,鳄鱼眼泪",1,100
"真菌孢子,蜡烛,地刺陷阱,鳄鱼眼泪,彩虹药水,倒刺利爪,毒液","真菌孢子,倒刺利爪,毒液,蜡烛,鳄鱼眼泪,毒液注射,翡翠",1,100
"彩虹药水,香炉,蜡烛,碎瓶,萤火虫,红宝石,火焰药水","萤火虫,嗅盐,熏香,蜡烛,彩虹药水,红宝石,香炉",1,100
