combo_key,representative_signature,cluster_size
"云精灵,彩虹药水,火焰药水,煅烧釜,瓶装闪电,红宝石,蜡烛,香炉","香炉,瓶装闪电,彩虹药水,红宝石,蜡烛,煅烧釜,云精灵,火焰药水",3
"倒刺利爪,地刺陷阱,彩虹药水,毒液,火焰药水,真菌孢子,翡翠,蜡烛,鳄鱼眼泪","地刺陷阱,蜡烛,翡翠,真菌孢子,倒刺利爪,毒液,火焰药水,鳄鱼眼泪,彩虹药水",1
"云精灵,火焰药水,煅烧釜,瓶装闪电,碎瓶,红宝石,蜡烛,香炉","瓶装闪电,火焰药水,香炉,蜡烛,碎瓶,红宝石,煅烧釜,云精灵",1
"云精灵,火焰药水,煅烧釜,瓶装闪电,硫磺,红宝石,蜡烛,香炉","煅烧釜,云精灵,火焰药水,瓶装闪电,硫磺,香炉,红宝石,蜡烛",1
"彩虹药水,永恒火炬,火焰药水,瓶装闪电,红宝石,蜡烛,贤者之石,香炉","香炉,瓶装闪电,火焰药水,蜡烛,彩虹药水,贤者之石,红宝石,永恒火炬",1
"展示玻璃球,彩虹药水,煅烧釜,瓶装闪电,碎瓶,红宝石,香炉,鳄鱼眼泪","瓶装闪电,煅烧釜,鳄鱼眼泪,红宝石,展示玻璃球,碎瓶,彩虹药水,香炉",1
"倒刺利爪,地刺陷阱,昏睡药水,毒液,毒液注射,真菌孢子,翡翠,蜡烛,鳄鱼眼泪","地刺陷阱,昏睡药水,蜡烛,翡翠,真菌孢子,倒刺利爪,毒液,毒液注射,鳄鱼眼泪",2
"倒刺利爪,嗅盐,地刺陷阱,毒液,毒液注射,毒蜥,水蛭,真菌孢子,翡翠","水蛭,嗅盐,真菌孢子,翡翠,毒蜥,倒刺利爪,毒液,毒液注射,地刺陷阱",1
"再生药水,彩虹药水,火焰药水,煅烧釜,红宝石,蜡烛,香炉,鳄鱼眼泪","煅烧釜,火焰药水,香炉,红宝石,再生药水,彩虹药水,鳄鱼眼泪,蜡烛",1
"云精灵,彩虹药水,火焰药水,煅烧釜,碎瓶,红宝石,蜡烛,香炉","彩虹药水,红宝石,蜡烛,香炉,火焰药水,碎瓶,煅烧釜,云精灵",2
"彩虹药水,永恒火炬,火焰药水,瓶装闪电,碎瓶,红宝石,蜡烛,香炉","碎瓶,香炉,瓶装闪电,火焰药水,蜡烛,红宝石,永恒火炬,彩虹药水",1
"倒刺利爪,地刺陷阱,毒液,真菌孢子,红宝石,翡翠,蜡烛,香炉,鳄鱼眼泪","香炉,地刺陷阱,蜡烛,翡翠,红宝石,真菌孢子,倒刺利爪,毒液,鳄鱼眼泪",1
"再生药水,彩虹药水,火焰药水,煅烧釜,瓶装闪电,红宝石,蜡烛,香炉","煅烧釜,香炉,瓶装闪电,红宝石,再生药水,彩虹药水,蜡烛,火焰药水",1
"再生药水,火焰药水,煅烧釜,瓶装闪电,碎瓶,红宝石,蜡烛,香炉","煅烧釜,蜡烛,香炉,碎瓶,火焰药水,红宝石,瓶装闪电,再生药水",1
"剑杖,彩虹药水,昏睡药水,火焰药水,煅烧釜,红宝石,香炉,鳄鱼眼泪","昏睡药水,香炉,剑杖,彩虹药水,煅烧釜,红宝石,鳄鱼眼泪,火焰药水",1
"塔兹迪亚匕首,手术刀,火焰药水,煅烧釜,瓶装闪电,红宝石,蜡烛,香炉","瓶装闪电,手术刀,红宝石,蜡烛,香炉,煅烧釜,火焰药水,塔兹迪亚匕首",1
"剑杖,彩虹药水,昏睡药水,煅烧釜,红宝石,萤火虫,香炉,鳄鱼眼泪","昏睡药水,萤火虫,香炉,剑杖,彩虹药水,煅烧釜,红宝石,鳄鱼眼泪",1
"拆信刀,火焰药水,煅烧釜,瓶装闪电,碎瓶,红宝石,蜡烛,香炉","香炉,煅烧釜,瓶装闪电,碎瓶,红宝石,蜡烛,拆信刀,火焰药水",1
"火焰药水,煅烧釜,瓶装闪电,碎瓶,红宝石,蜡烛,贤者之石,香炉","煅烧釜,碎瓶,蜡烛,香炉,红宝石,火焰药水,瓶装闪电,贤者之石",3
"剑杖,彩虹药水,昏睡药水,煅烧釜,瓶装闪电,红宝石,香炉,鳄鱼眼泪","香炉,剑杖,彩虹药水,煅烧釜,红宝石,鳄鱼眼泪,昏睡药水,瓶装闪电",1
"彩虹药水,昏睡药水,曲颈甑,火焰药水,煅烧釜,红宝石,香炉,鳄鱼眼泪","昏睡药水,曲颈甑,红宝石,煅烧釜,彩虹药水,香炉,鳄鱼眼泪,火焰药水",1
"倒刺利爪,地刺陷阱,彩虹药水,毒液,真菌孢子,翡翠,腐朽圣像,香炉,鳄鱼眼泪","彩虹药水,香炉,腐朽圣像,倒刺利爪,毒液,真菌孢子,地刺陷阱,鳄鱼眼泪,翡翠",1
"剧毒药水,彩虹药水,火焰药水,煅烧釜,瓶装闪电,红宝石,蜡烛,香炉","瓶装闪电,火焰药水,红宝石,煅烧釜,剧毒药水,香炉,蜡烛,彩虹药水",1
"剧毒药水,火焰药水,煅烧釜,瓶装闪电,碎瓶,红宝石,蜡烛,香炉","火焰药水,红宝石,煅烧釜,碎瓶,剧毒药水,香炉,瓶装闪电,蜡烛",1
"倒刺利爪,剧毒药水,昏睡药水,煅烧釜,红宝石,蜡烛,香炉,鳄鱼眼泪","红宝石,煅烧釜,鳄鱼眼泪,剧毒药水,倒刺利爪,香炉,蜡烛,昏睡药水",1
"倒刺利爪,和平铸箱,地刺陷阱,毒液,毒液注射,水蛭,真菌孢子,翡翠","和平铸箱,真菌孢子,水蛭,毒液注射,倒刺利爪,毒液,翡翠,地刺陷阱",1
"彩虹药水,毒液注射,毒芹,水蛭,炼金梨缶,真菌孢子,翡翠,贤者之石","真菌孢子,翡翠,毒液注射,贤者之石,水蛭,彩虹药水,炼金梨缶,毒芹",1
"倒刺利爪,和平铸箱,地刺陷阱,毒液,毒液注射,真菌孢子,翡翠,腐朽圣像","和平铸箱,腐朽圣像,真菌孢子,毒液注射,倒刺利爪,毒液,翡翠,地刺陷阱",1
"塔兹迪亚匕首,拆信刀,火焰药水,煅烧釜,瓶装闪电,红宝石,蜡烛,香炉","香炉,煅烧釜,火焰药水,塔兹迪亚匕首,拆信刀,瓶装闪电,红宝石,蜡烛",1
"手术刀,火焰药水,煅烧釜,瓶装闪电,碎瓶,红宝石,蜡烛,香炉","碎瓶,蜡烛,手术刀,红宝石,香炉,煅烧釜,瓶装闪电,火焰药水",1
"和平铸箱,毒液,毒液注射,毒蜥,真菌孢子,笔与墨,翡翠,腐朽圣像","和平铸箱,毒蜥,笔与墨,毒液,真菌孢子,腐朽圣像,毒液注射,翡翠",1
"地窖,彩虹药水,火焰药水,煅烧釜,瓶装闪电,红宝石,香炉,鳄鱼眼泪","彩虹药水,地窖,鳄鱼眼泪,煅烧釜,火焰药水,红宝石,香炉,瓶装闪电",1
"地窖,彩虹药水,火焰药水,煅烧釜,红宝石,萤火虫,香炉,鳄鱼眼泪","鳄鱼眼泪,彩虹药水,地窖,香炉,煅烧釜,萤火虫,火焰药水,红宝石",1
"彩虹药水,火焰药水,煅烧釜,瓶装闪电,红宝石,萤火虫,蜡烛,飞蛾粉末","飞蛾粉末,煅烧釜,火焰药水,彩虹药水,瓶装闪电,蜡烛,萤火虫,红宝石",1
"地窖,彩虹药水,火焰药水,煅烧釜,瓶装闪电,红宝石,萤火虫,鳄鱼眼泪","萤火虫,彩虹药水,地窖,煅烧釜,鳄鱼眼泪,火焰药水,红宝石,瓶装闪电",1
"塔兹迪亚匕首,彩虹药水,火焰药水,煅烧釜,碎瓶,红宝石,蜡烛,香炉","碎瓶,蜡烛,彩虹药水,红宝石,火焰药水,塔兹迪亚匕首,香炉,煅烧釜",1
"塔兹迪亚匕首,火焰药水,煅烧釜,瓶装闪电,碎瓶,红宝石,蜡烛,香炉","蜡烛,碎瓶,瓶装闪电,红宝石,香炉,煅烧釜,火焰药水,塔兹迪亚匕首",3
"倒刺利爪,地刺陷阱,毒液,毒液注射,真菌孢子,翡翠,蜡烛,贤者之石,鳄鱼眼泪","翡翠,蜡烛,真菌孢子,鳄鱼眼泪,倒刺利爪,毒液,贤者之石,地刺陷阱,毒液注射",1
"彩虹药水,折射棱镜,昏睡药水,火焰药水,煅烧釜,红宝石,香炉,鳄鱼眼泪","鳄鱼眼泪,折射棱镜,昏睡药水,火焰药水,香炉,红宝石,彩虹药水,煅烧釜",1
"塔兹迪亚匕首,彩虹药水,火焰药水,煅烧釜,瓶装闪电,红宝石,蜡烛,香炉","蜡烛,彩虹药水,红宝石,瓶装闪电,火焰药水,塔兹迪亚匕首,香炉,煅烧釜",1
"展示玻璃球,彩虹药水,火焰药水,煅烧釜,瓶装闪电,碎瓶,红宝石,鳄鱼眼泪","瓶装闪电,煅烧釜,红宝石,展示玻璃球,碎瓶,彩虹药水,鳄鱼眼泪,火焰药水",1
"云精灵,倒刺利爪,地刺陷阱,毒液,毒液注射,水蛭,真菌孢子,翡翠,鳄鱼眼泪","水蛭,云精灵,真菌孢子,鳄鱼眼泪,翡翠,倒刺利爪,毒液,地刺陷阱,毒液注射",1
"展示玻璃球,彩虹药水,火焰药水,煅烧釜,瓶装闪电,红宝石,香炉,鳄鱼眼泪","展示玻璃球,煅烧釜,彩虹药水,香炉,火焰药水,红宝石,鳄鱼眼泪,瓶装闪电",1
"永恒火炬,火焰药水,瓶装闪电,碎瓶,红宝石,蜡烛,贤者之石,香炉","香炉,碎瓶,贤者之石,瓶装闪电,火焰药水,蜡烛,红宝石,永恒火炬",1
"彩虹药水,折射棱镜,昏睡药水,煅烧釜,瓶装闪电,红宝石,香炉,鳄鱼眼泪","昏睡药水,彩虹药水,折射棱镜,香炉,煅烧釜,鳄鱼眼泪,红宝石,瓶装闪电",1
"彩虹药水,火焰药水,煅烧釜,瓶装闪电,碎瓶,红宝石,蜡烛,香炉","火焰药水,彩虹药水,碎瓶,红宝石,煅烧釜,蜡烛,香炉,瓶装闪电",5
"彩虹药水,手术刀,火焰药水,煅烧釜,瓶装闪电,红宝石,蜡烛,香炉","手术刀,红宝石,彩虹药水,香炉,蜡烛,煅烧釜,瓶装闪电,火焰药水",1
