rank,item,generality
1,红宝石,0.70907074924493285
2,蜡烛,0.67268871939673514
3,香炉,0.66957520646594704
4,煅烧釜,0.59842150734269239
5,彩虹药水,0.591422426748071
6,火焰药水,0.5374615591923404
7,瓶装闪电,0.43643917524576237
8,鳄鱼眼泪,0.38556762571333142
9,真菌孢子,0.27867854910910689
10,翡翠,0.27742014314901259
11,毒液,0.24908165591344264
12,毒液注射,0.24042686279840297
13,倒刺利爪,0.23223637275510048
14,地刺陷阱,0.2177469630507346
15,碎瓶,0.20952152742418903
16,贤者之石,0.20100005124544418
17,萤火虫,0.16527875220459856
18,昏睡药水,0.10856401337992423
19,云精灵,0.086794398244221596
20,水蛭,0.060561050640812533
21,塔兹迪亚匕首,0.057205134719439409
22,腐朽圣像,0.050135127723634196
23,手术刀,0.047004979575081408
24,蛇怪之牙,0.040480564769216236
25,笔与墨,0.034156164935338892
26,毒蜥,0.03370169391781052
27,曲颈甑,0.033457754614169243
28,毒芹,0.031108531780301749
29,硫磺,0.023466215004513721
30,拆信刀,0.02202719800129568
31,嗅盐,0.019550154239522617
32,黑玫瑰,0.010646404647194652
33,剧毒药水,0.010012212684962262
34,魔法飞毯,0.0078439316519257878
35,猫头鹰奥利,0.0075579724991229058
36,展示玻璃球,0.0051472647504518833
37,剑杖,0.0040320240545206418
38,飞蛾粉末,0.0034483309602700535
39,再生药水,0.0026606646801326491
40,永恒火炬,0.0016435126045302507
41,熏香,0.0015994950531098783
42,颠茄,0.0014499071769587906
43,折射棱镜,0.0010008570348100884
44,黑曜石碎片,0.00079660049709374384
45,没药,0.00034315098336345888
46,和平铸箱,0
46,地窖,0
46,时间之砂,0
46,炼金梨缶,0
46,生命导体,0
46,研钵与研杵,0
46,离子闪电,0
46,空白石碑,0
46,贪婪渡鸦,0
46,青苔,0
