rank,anchor,specialty
1,炼金梨缶,1
2,展示玻璃球,0.99839025375612356
3,蜡烛,0.99556710240459279
4,水蛭,0.99346771007991119
5,颠茄,0.98101435000761572
6,红宝石,0.97532724381889768
7,煅烧釜,0.94761774486257444
8,倒刺利爪,0.92427229208634887
9,火焰药水,0.92225129176387832
10,永恒火炬,0.91997432253113476
11,剑杖,0.90580202362128992
12,碎瓶,0.90171355631444461
13,香炉,0.87946020224135224
14,曲颈甑,0.8681230722787322
15,折射棱镜,0.84948440735488218
16,云精灵,0.83001312940762173
17,地窖,0.80320263522386981
18,彩虹药水,0.77572211566376859
19,瓶装闪电,0.76032141929175057
20,腐朽圣像,0.73732663802176879
21,塔兹迪亚匕首,0.70316984941701632
22,毒液,0.70119597739179662
23,再生药水,0.70060744679623521
24,贪婪渡鸦,0.68784766401467645
25,生命导体,0.68621817908031135
26,拆信刀,0.65370268400597908
27,硫磺,0.60667529761139327
28,鳄鱼眼泪,0.60380627672587217
29,笔与墨,0.58344390841103344
30,手术刀,0.58202871274791457
31,魔法飞毯,0.56449338984165998
32,飞蛾粉末,0.55827928711302666
33,剧毒药水,0.54947667609841278
34,昏睡药水,0.54588771214368237
35,和平铸箱,0.50579519709690945
36,萤火虫,0.47194953086989
37,黑曜石碎片,0.45511165046917795
38,研钵与研杵,0.4475273622301279
39,真菌孢子,0.44370787415611174
40,熏香,0.4340763459160194
41,青苔,0.41109929105461485
42,翡翠,0.38323903397388032
43,嗅盐,0.36490436563223794
44,地刺陷阱,0.35009897091734432
45,贤者之石,0.33929089612935126
46,毒蜥,0.30615033303742745
47,毒芹,0.24637271735937524
48,时间之砂,0.22132001252150516
49,空白石碑,0.21240293394787732
50,没药,0.20514404747459131
51,蛇怪之牙,0.13700724574736026
52,毒液注射,0.12347422798311861
53,黑玫瑰,0.08006268450731728
54,离子闪电,0.0066904182922348223
55,猫头鹰奥利,0.00025537935893180298
