combo_key,representative_signature,cluster_size
"双管霰弹枪,弹簧刀,火药角,葡萄弹,靴里剑,鲨齿爪","鲨齿爪,火药角,双管霰弹枪,弹簧刀,葡萄弹,靴里剑",1
"三花,左轮手枪,弹簧刀,手斧,舱底蠕虫,葡萄弹,鲨齿爪","三花,左轮手枪,弹簧刀,鲨齿爪,舱底蠕虫,手斧,葡萄弹",1
"打火机,海底热泉,燃烧响炮,狼筅,珊瑚,绵鳚","燃烧响炮,打火机,绵鳚,海底热泉,狼筅,珊瑚",1
"毒须鲶,水草,沙滩充气球,淬锋钢,绵鳚,马龙鱼","沙滩充气球,马龙鱼,绵鳚,毒须鲶,水草,淬锋钢",1
"三花,左轮手枪,手斧,舱底蠕虫,葡萄弹,靴里剑,鲨齿爪","手斧,左轮手枪,靴里剑,三花,鲨齿爪,葡萄弹,舱底蠕虫",1
"刺刀,左轮手枪,手斧,流星索,葡萄弹,靴里剑,鲨齿爪","手斧,鲨齿爪,靴里剑,流星索,左轮手枪,刺刀,葡萄弹",2
"刺刀,弹簧刀,手斧,武士刀,流星索,鲨齿爪","流星索,鲨齿爪,手斧,弹簧刀,武士刀,刺刀",2
"手斧,淬锋钢,舱底蠕虫,飞鱼,马龙鱼,鲨齿爪","舱底蠕虫,手斧,淬锋钢,飞鱼,鲨齿爪,马龙鱼",2
"毒须鲶,水母,水草,海螺壳,珊瑚,珍珠,绵鳚,雪怪蟹","珊瑚,珍珠,水母,雪怪蟹,毒须鲶,绵鳚,水草,海螺壳",2
"三花,左轮手枪,弹簧刀,手斧,独角鲸,葡萄弹,鲨齿爪","鲨齿爪,三花,葡萄弹,手斧,左轮手枪,弹簧刀,独角鲸",1
"刺刀,手斧,流星索,独角鲸,葡萄弹,靴里剑,鲨齿爪","流星索,葡萄弹,手斧,鲨齿爪,独角鲸,刺刀,靴里剑",2
"刺刀,手斧,流星索,葡萄弹,迷你弯刀,靴里剑,鲨齿爪","手斧,靴里剑,鲨齿爪,流星索,葡萄弹,迷你弯刀,刺刀",1
"救生圈,淬锋钢,飞鱼,马龙鱼,鲨齿爪","淬锋钢,飞鱼,鲨齿爪,救生圈,马龙鱼",1
"左轮手枪,弹簧刀,手斧,独角鲸,舱底蠕虫,葡萄弹,鲨齿爪","鲨齿爪,舱底蠕虫,手斧,左轮手枪,弹簧刀,独角鲸,葡萄弹",2
"双管霰弹枪,弹簧刀,手斧,火药角,葡萄弹,鲨齿爪","手斧,鲨齿爪,火药角,双管霰弹枪,弹簧刀,葡萄弹",1
