rank,item,generality
1,鲨齿爪,0.70352971577466616
2,淬锋钢,0.69992908166931267
3,马龙鱼,0.550062790068929
4,手斧,0.52984485538773451
5,绵鳚,0.49592090281548873
6,飞鱼,0.4418486543320353
7,弹簧刀,0.38499837500544903
8,珊瑚,0.36786065878491092
9,水草,0.32871615661861447
10,舱底蠕虫,0.2784608955465358
11,葡萄弹,0.17707840854891066
12,靴里剑,0.15206806955141405
13,打火机,0.13930638255899638
14,燃烧响炮,0.13654508970532536
15,左轮手枪,0.11810736972935293
16,海螺壳,0.11653623782954832
17,迷幻蝠鲼,0.10432733620568067
18,火药角,0.09925441957021118
19,毒须鲶,0.093350838793884047
20,刺刀,0.087990879856483808
21,流星索,0.086275224903273356
22,皮皮虾,0.080801463933302578
23,手雷,0.077047581881954236
24,海底热泉,0.075067822880545684
25,武士刀,0.074874373224619886
26,鱼饵,0.069285964942555248
27,独角鲸,0.066761944056538222
28,水母,0.063759509619892449
29,狼筅,0.062452508500424976
30,鹦鹉皮特,0.060100913648019179
31,步枪,0.058704992744474042
32,珍珠,0.053772267207116663
33,藏刃匕首,0.053735066638595938
34,填弹杆,0.052954149925070353
35,雪怪蟹,0.05111041194074812
36,迷你弯刀,0.028325126118898807
37,珊瑚护甲,0.027131030079187487
38,沙滩充气球,0.019462947678215718
39,三花,0.016412806367518577
40,食人鱼,0.011893272029927319
41,湿件战服,0.010721153744262758
42,抓钩,0.0076327039295416357
43,龙涎香,0.0046744108656385456
44,火炮,0.0043751750378841006
45,钓鱼竿,0.0025654621137172879
46,救生圈,0.0022832738508414764
47,手里剑,0.0014369447428344839
48,木桶,0.0013971147179797968
49,宠物石,0.0009278052848503605
50,双管霰弹枪,0.00025736323752259419
51,弯刀,0
51,星图,0
51,渔网,0
51,温馨海湾,0
51,铲子,0
