final_rank,signature,total_points,matchup_wins,matchup_draws,matchup_losses
1,"十手,大钢弩,绵鳚,火药角,烈酒杯,皮皮虾,拍立蚌,枪套,流星索",5198,57,0,2
2,"打火机,拍立蚌,潜水配重,绵鳚,大钢弩,加速烙刀,燃烧响炮,枪套",5115,54,0,5
3,"小冰镐,淬锋钢,枪套,深潜器,带刃悬浮板,潜水配重,湿件战服",5022,53,0,6
4,"枪套,燃烧响炮,潜水配重,绵鳚,大钢弩,小冰镐,抛石机",4831,51,0,8
5,"烈酒杯,加速烙刀,绵鳚,大钢弩,藏刃匕首,小冰镐,标枪",4625,50,0,9
6,"大钢弩,烈酒杯,枪套,潜水配重,绵鳚,加速烙刀,救生圈",4509,49,0,10
7,"淬锋钢,带刃悬浮板,潜水配重,深潜器,水车,拍立蚌",4484,50,0,9
8,"火药角,鱼雷,大钢弩,绵鳚,潜水配重,拍立蚌,枪套,燃烧响炮",4375,47,0,12
9,"火药角,鱼雷,潜水配重,水车,拍立蚌,大钢弩",4340,54,1,4
10,"鸦巢,淬锋钢,带刃悬浮板,潜水配重,船长舱",4199,45,0,14
11,"拍立蚌,淬锋钢,带刃悬浮板,潜水配重,船舵,船长舱",4124,44,2,13
12,"十手,牌桌,皮皮虾,烈酒杯,炮弹,流星索,救生圈,拍立蚌",4038,43,1,15
13,"鳐鲨,大钢弩,绵鳚,独角鲸,枪套,水母,潜水配重,飞鱼",3929,46,0,13
14,"打火机,燃烧响炮,绵鳚,篝火,抛石机,救生圈",3878,40,0,19
15,"大钢弩,理查森先生,绵鳚,打火机,篝火,燃烧响炮,燃烧子弹,套娃",3818,42,0,17
16,"加速烙刀,小冰镐,套娃,水车,拍立蚌,潜水配重,理查森先生",3814,39,0,20
17,"六分仪,淬锋钢,船舵,沙滩充气球,吸血章鱼,海影宝驹",3812,39,0,20
18,"鱼雷,拍立蚌,燃烧响炮,绵鳚,旗舰,蔻森娜纹章,淬锋钢",3660,40,2,17
19,"藏刃匕首,潜水配重,船舵,小冰镐,抛石机,大钢弩",3523,37,2,20
20,"手斧,小冰镐,流星索,淬锋钢,手里剑,带刃悬浮板,潜水配重,深潜器",3471,38,0,21
21,"藏刃匕首,船舵,加速烙刀,烈酒杯,大钢弩,海影宝驹",3412,35,1,23
22,"珍珠,潜水配重,拍立蚌,水母,雪怪蟹,元素深水炸弹,绵鳚,水草,小冰镐",3409,33,1,25
23,"枪套,雪怪蟹,风暴瓶,绵鳚,小冰镐,流星索,燃烧响炮,大钢弩",3385,32,0,27
24,"救生圈,拍立蚌,幽渊鮟鱇,十手,火药角,烈酒杯,皮皮虾,燃烧响炮",3296,33,0,26
25,"手斧,打火机,流星索,鱼雷,火药角,火炮,绵鳚,燃烧响炮",3223,34,0,25
26,"套娃,燃烧响炮,流星索,填弹杆,连发步枪,弹簧刀,鱼雷",3178,31,2,26
27,"炮弹,烈酒杯,牌桌,淬锋钢,六分仪,潜水配重,吸血章鱼,枪套",3172,31,1,27
28,"盐钳海盗,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,水车,拍立蚌",3076,27,0,32
29,"珊瑚,拍立蚌,流星索,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,皮皮虾,迷幻蝠鲼",3047,25,0,34
30,"恶鬼面具,蔻森娜纹章,淬锋钢,打火机,湿件战服,绵鳚,小冰镐,燃烧响炮",3035,32,1,26
31,"流星索,鱼雷,独角鲸,迷幻蝠鲼,皮皮虾,绵鳚,海狗沙龙",2953,29,2,28
32,"船首像,靴里剑,手斧,小冰镐,枪套,手里剑,带刃悬浮板,淬锋钢",2927,31,3,25
33,"船长舱,绵鳚,手雷,手里剑,刺刀,流星索,手斧,小冰镐",2899,30,1,28
