peel_index,phase,node_index,signature
0,sink,3,"水草,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,小冰镐,鱼饵"
1,sink,8,"拍立蚌,皮皮虾,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,理查森先生,小冰镐"
2,sink,13,"火药角,烈酒杯,流星索,减速烙刀,绵鳚,拍立蚌,皮皮虾,大钢弩"
3,sink,10,"火药角,烈酒杯,减速烙刀,拍立蚌,枪套,皮皮虾,十手,大钢弩"
4,sink,20,"淬锋钢,喷射摩托,潜行滑翔机,珊瑚,小冰镐,飞鱼"
5,sink,23,"潜行滑翔机,飞鱼,潜水配重,水草,喷射摩托,淬锋钢"
6,sink,37,"湿件战服,小冰镐,手雷,淬锋钢,深潜器,带刃悬浮板,套娃"
7,sink,38,"湿件战服,小冰镐,拍立蚌,深潜器,淬锋钢,带刃悬浮板,套娃"
8,sink,42,"手斧,十手,船长舱,流星索,烈酒杯,皮皮虾,手雷,小冰镐"
9,sink,43,"淬锋钢,水车,套娃,带刃悬浮板,潜水配重,深潜器"
10,sink,45,"流星索,填弹杆,步枪,水车,小冰镐,藏刃匕首"
11,sink,25,"流星索,填弹杆,步枪,套娃,水车,淬锋钢"
12,sink,30,"流星索,填弹杆,步枪,套娃,水车,小冰镐"
13,sink,49,"流星索,鲨齿爪,绵鳚,小冰镐,飞鱼,抛石机,手斧"
14,sink,52,"拍立蚌,毒须鲶,迷幻蝠鲼,理查森先生,淬锋钢,水车,弯刀"
15,sink,54,"小冰镐,绵鳚,打火机,蔻森娜纹章,手斧,燃烧响炮,赛博铁尺,靴里剑,手里剑"
16,sink,55,"手斧,流星索,小冰镐,弹簧刀,武士刀,水车,淬锋钢"
17,sink,57,"蔻森娜纹章,小冰镐,靴里剑,绵鳚,打火机,燃烧子弹,套娃,燃烧响炮,恶鬼面具"
18,sink,56,"蔻森娜纹章,靴里剑,绵鳚,打火机,燃烧子弹,燃烧响炮,篝火,恶鬼面具"
19,sink,59,"淬锋钢,旗舰,鸦巢,潜水配重,六分仪"
20,sink,62,"小冰镐,绵鳚,潜水配重,燃烧响炮,枪套,抛石机,大钢弩"
21,sink,35,"燃烧响炮,水母,潜水配重,绵鳚,大钢弩,抛石机,枪套"
22,sink,63,"加速烙刀,篝火,打火机,燃烧子弹,套娃,燃烧响炮,救生圈"
23,sink,41,"加速烙刀,篝火,打火机,燃烧子弹,燃烧响炮,绵鳚,救生圈"
24,sink,64,"淬锋钢,湿件战服,深潜器,潜水配重,带刃悬浮板,武士刀"
25,sink,66,"大钢弩,星盘,燃烧子弹,打火机,篝火,加速烙刀"
26,sink,7,"燃烧响炮,篝火,加速烙刀,大钢弩,星盘,打火机"
27,sink,81,"加速烙刀,枪套,小冰镐,燃烧响炮,水车,套娃,打火机"
28,sink,84,"集成式HUD,大钢弩,沙滩充气球,潜水配重,六分仪,烈酒杯,吸血章鱼"
29,sink,85,"篝火,打火机,燃烧子弹,葡萄弹,大钢弩,靴里剑,绵鳚,燃烧响炮"
30,sink,31,"葡萄弹,大钢弩,打火机,标枪,篝火,绵鳚,燃烧响炮"
31,sink,76,"篝火,毒须鲶,燃烧子弹,燃烧响炮,绵鳚,打火机,大钢弩,拍立蚌"
32,sink,68,"篝火,毒须鲶,潜水配重,枪套,燃烧响炮,绵鳚,打火机,大钢弩"
33,sink,86,"大钢弩,沙滩充气球,潜水配重,六分仪,烈酒杯,吸血章鱼,蔻森娜纹章"
34,sink,83,"大钢弩,沙滩充气球,潜水配重,六分仪,烈酒杯,吸血章鱼,枪套"
35,sink,12,"六分仪,潜水配重,炮弹,烈酒杯,枪套,大钢弩,吸血章鱼,雪怪蟹"
36,sink,11,"六分仪,潜水配重,炮弹,烈酒杯,枪套,大钢弩,吸血章鱼,迷幻蝠鲼"
37,sink,90,"烈酒杯,加速烙刀,绵鳚,潜水配重,水母,河豚,燃烧子弹,燃烧响炮"
38,sink,92,"珊瑚,绵鳚,燃烧响炮,燃烧子弹,海底热泉,篝火,加速烙刀"
39,sink,75,"大钢弩,燃烧响炮,燃烧子弹,海底热泉,篝火,加速烙刀"
40,sink,91,"大钢弩,燃烧响炮,海底热泉,绵鳚,篝火,加速烙刀"
41,sink,58,"烈酒杯,大钢弩,绵鳚,燃烧响炮,打火机,篝火,加速烙刀"
42,sink,97,"流星索,手雷,鱼雷,船舵,潜水配重,港口"
43,sink,98,"燃烧响炮,烈酒杯,小冰镐,绵鳚,加速烙刀,打火机,枪套,海影宝驹"
44,sink,93,"燃烧响炮,小冰镐,绵鳚,加速烙刀,枪套,打火机,海影宝驹,藏刃匕首"
45,sink,100,"盐钳海盗,理查森先生,迷幻蝠鲼,皮皮虾,绵鳚,海狗沙龙,烈酒杯,十手"
46,sink,51,"盐钳海盗,理查森先生,鹦鹉皮特,迷幻蝠鲼,皮皮虾,绵鳚,海狗沙龙,飞鱼"
47,sink,101,"手斧,小冰镐,沙滩充气球,潜水配重,带刃悬浮板,深潜器,淬锋钢"
48,sink,104,"潜水配重,元素深水炸弹,雪怪蟹,水母,潜艇,绵鳚,小冰镐"
49,sink,105,"小冰镐,流星索,鱼雷,船舵,潜水配重,港口"
50,sink,109,"珊瑚护甲,篝火,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀"
51,sink,110,"绵鳚,元素深水炸弹,雪怪蟹,水母,潜艇,小冰镐,水草"
52,sink,112,"十手,船长舱,大钢弩,流星索,烈酒杯,手雷,小冰镐"
53,sink,113,"燃烧响炮,珊瑚,加速烙刀,绵鳚,打火机,火炮,手斧,枪套"
