index,signature
0,"船长舱,淬锋钢,旗舰,潜水配重,六分仪"
1,"拍立蚌,海螺壳,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,小冰镐"
2,"流星索,填弹杆,步枪,水车,淬锋钢,小冰镐"
3,"水草,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,小冰镐,鱼饵"
4,"燃烧子弹,燃烧响炮,篝火,绵鳚,标枪,打火机,大钢弩"
5,"大钢弩,藏刃匕首,燃烧响炮,潜水配重,绵鳚,加速烙刀,枪套,流星索"
6,"六分仪,潜水配重,炮弹,烈酒杯,枪套,拍立蚌,大钢弩,吸血章鱼"
7,"燃烧响炮,篝火,加速烙刀,大钢弩,星盘,打火机"
8,"拍立蚌,皮皮虾,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,理查森先生,小冰镐"
9,"皮皮虾,流星索,珊瑚,拍立蚌,火药角,烈酒杯,减速烙刀,锁镰,十手"
10,"火药角,烈酒杯,减速烙刀,拍立蚌,枪套,皮皮虾,十手,大钢弩"
11,"六分仪,潜水配重,炮弹,烈酒杯,枪套,大钢弩,吸血章鱼,迷幻蝠鲼"
12,"六分仪,潜水配重,炮弹,烈酒杯,枪套,大钢弩,吸血章鱼,雪怪蟹"
13,"火药角,烈酒杯,流星索,减速烙刀,绵鳚,拍立蚌,皮皮虾,大钢弩"
14,"十手,枪套,火药角,烈酒杯,皮皮虾,迷幻蝠鲼,幽渊鮟鱇,大钢弩"
15,"拍立蚌,十手,火药角,烈酒杯,鱼雷,皮皮虾,迷幻蝠鲼,幽渊鮟鱇"
16,"加速烙刀,绵鳚,潜水配重,水母,拍立蚌,大钢弩,小冰镐,枪套"
17,"加速烙刀,绵鳚,潜水配重,水母,拍立蚌,大钢弩,枪套,流星索"
18,"烈酒杯,大钢弩,枪套,藏刃匕首,绵鳚,加速烙刀,标枪"
19,"大钢弩,篝火,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀"
20,"淬锋钢,喷射摩托,潜行滑翔机,珊瑚,小冰镐,飞鱼"
21,"飞鱼,潜水配重,理查森先生,喷射摩托,淬锋钢,潜行滑翔机"
22,"加速烙刀,绵鳚,潜水配重,燃烧响炮,烈酒杯,大钢弩,星盘"
23,"潜行滑翔机,飞鱼,潜水配重,水草,喷射摩托,淬锋钢"
24,"淬锋钢,水车,马龙鱼,弹簧刀,牌桌,小冰镐"
25,"流星索,填弹杆,步枪,套娃,水车,淬锋钢"
26,"篝火,毒须鲶,燃烧子弹,燃烧响炮,绵鳚,打火机,大钢弩,枪套"
27,"小冰镐,大钢弩,枪套,拍立蚌,加速烙刀,绵鳚,潜水配重,飞鱼"
28,"加速烙刀,绵鳚,潜水配重,拍立蚌,藏刃匕首,烈酒杯,大钢弩,枪套"
29,"大钢弩,打火机,篝火,标枪,绵鳚,燃烧响炮,枪套"
30,"流星索,填弹杆,步枪,套娃,水车,小冰镐"
31,"葡萄弹,大钢弩,打火机,标枪,篝火,绵鳚,燃烧响炮"
32,"大钢弩,枪套,马龙鱼,水母,飞鱼,潜水配重,鳐鲨"
33,"燃烧响炮,珊瑚,加速烙刀,绵鳚,打火机,火炮,理查森先生,枪套"
34,"燃烧响炮,枪套,抛石机,大钢弩,绵鳚,潜水配重,飞鱼"
35,"燃烧响炮,水母,潜水配重,绵鳚,大钢弩,抛石机,枪套"
36,"小冰镐,湿件战服,淬锋钢,深潜器,潜水配重,带刃悬浮板,套娃"
37,"湿件战服,小冰镐,手雷,淬锋钢,深潜器,带刃悬浮板,套娃"
