rank,anchor,specialty
1,元素深水炸弹,1
1,填弹杆,1
1,大钢弩,1
1,带刃悬浮板,1
1,旗舰,1
1,海狗沙龙,1
1,港口,1
1,船舵,1
1,船长舱,1
1,连发步枪,1
1,风暴瓶,1
1,鱼雷,1
13,水车,0.99942969876856369
14,篝火,0.99842898461341967
15,烈酒杯,0.99802406560654011
16,马龙鱼,0.99795225083949302
17,步枪,0.99769217657192766
18,迷你弯刀,0.99493123122460247
19,深潜器,0.99453628083533863
20,喷射摩托,0.98916635070150949
21,抛石机,0.98842017514556602
22,鲨齿爪,0.98605161983612299
23,标枪,0.97707929637785507
24,雪怪蟹,0.97419463889822255
25,枪套,0.9646460132698722
26,弯刀,0.94561118207171024
27,绵鳚,0.94173438918834818
28,潜水配重,0.93993122172483434
29,六分仪,0.93957364418821343
30,恶鬼面具,0.93824711010870399
31,弹簧刀,0.90892298873701338
32,燃烧响炮,0.90027673830602739
33,燃烧子弹,0.89442214601365233
34,武士刀,0.88348769867605315
35,打火机,0.84387969366224536
36,潜艇,0.8290760125993607
37,加速烙刀,0.79949483507720631
38,幽渊鮟鱇,0.79944866950294846
39,星盘,0.78693024896323949
40,水母,0.76690108931152445
41,靴里剑,0.75420328618509047
42,炮弹,0.7279855886954455
43,藏刃匕首,0.72514369891662478
44,火药角,0.7208044567310854
45,海影宝驹,0.70753026958035259
46,赛博铁尺,0.69888088795599712
47,船首像,0.6950727515821078
48,海底热泉,0.67088675299757339
49,减速烙刀,0.65602689614235143
50,毒须鲶,0.64630971709482177
51,救生圈,0.64455921974719488
52,鳐鲨,0.63433454810637346
53,火炮,0.61738905875187378
54,狼筅,0.60579939626124146
55,河豚,0.58317947820880345
56,珊瑚护甲,0.56744153946716114
57,套娃,0.55052367663998558
58,沙滩充气球,0.54256205473141372
59,牌桌,0.5151362657050228
60,飞鱼,0.49128072662487587
61,皮皮虾,0.47274016909798261
62,潜行滑翔机,0.4571050385233898
63,鹦鹉皮特,0.4335435725215116
64,湿件战服,0.40071682389601004
65,码头缆索,0.39182208779672167
66,淬锋钢,0.390743475793774
67,消音器,0.38027559760357799
68,流星索,0.33918609567456215
69,火枪,0.3333400230641812
70,通缉海报,0.30439754236249245
71,锁镰,0.27188418082727644
72,葡萄弹,0.27033602221639846
73,水草,0.26251911980323372
74,迷幻蝠鲼,0.260931148538604
75,鸦巢,0.25794208412307273
76,星图,0.25174478881928725
77,龙涎香,0.24611083012938351
78,盐钳海盗,0.24605516775375141
79,小冰镐,0.22978204542776876
80,钓鱼竿,0.22771697252516643
81,锁匣,0.22533827274088919
82,双管霰弹枪,0.22389319935163143
83,珍珠,0.20923896901540529
84,手斧,0.20903643538685829
85,烙刀,0.19578164294366646
86,拍立蚌,0.19455367953384156
87,温馨海湾,0.19357187011495261
88,渔网,0.19271773837964226
89,独角鲸,0.19202736115019986
90,珊瑚,0.18996271057602745
91,鱼饵,0.17225195191638401
92,十手,0.16118304692399918
93,海螺壳,0.1572778471783029
94,宠物石,0.15215407531366371
95,深海弯刀,0.14890831752217656
96,吸血章鱼,0.14468589442987889
97,理查森先生,0.1330201759445572
98,左轮手枪,0.13125344866414806
99,手里剑,0.12445622830714956
100,手雷,0.10859708518397583
101,铲子,0.10221620342387493
102,三花,0.080096479974030924
103,定制准镜,0.077208259648318123
104,蝶剑,0.064185036515021346
105,蔻森娜纹章,0.053586670500099028
106,木桶,0.045961345639866757
107,抓钩,0.038292624308854384
108,食人鱼,0.037654442448507512
109,飞镖发射器,0.031126733663936725
110,集成式HUD,0.015610590011860818
111,刺刀,0.014324671238787041
112,舱底蠕虫,0.0044602980723730413
113,鱼叉,0.00054576793875552347
114,橘利安,0.00026439766761170115
115,伪装,3.9922260916023286e-05
