order,node_index,signature
0,0,"枪套,燃烧响炮,珊瑚,标枪,小冰镐,绵鳚,加速烙刀,打火机"
1,2,"牌桌,淬锋钢,水车,吸血章鱼,潜水配重,六分仪"
2,8,"淬锋钢,旗舰,船长舱,潜水配重,六分仪"
3,10,"淬锋钢,鸦巢,定制准镜,旗舰,潜水配重,蔻森娜纹章"
4,16,"水草,码头缆索,潜水配重,水车,弯刀,淬锋钢"
5,17,"拍立蚌,水车,淬锋钢,带刃悬浮板,潜水配重,深潜器"
6,20,"大钢弩,炮弹,潜水配重,水车,小冰镐,珊瑚护甲"
7,24,"枪套,大钢弩,燃烧响炮,加速烙刀,绵鳚,潜水配重,水母,拍立蚌"
8,31,"潜水配重,水车,拍立蚌,淬锋钢,六分仪,迷你弯刀,消音器"
9,33,"火药角,双管霰弹枪,水车,淬锋钢,珊瑚,六分仪"
10,34,"抛石机,绵鳚,潜水配重,水母,枪套,大钢弩,燃烧响炮"
11,39,"飞鱼,打火机,绵鳚,加速烙刀,喷射摩托,燃烧响炮,枪套"
12,42,"飞鱼,打火机,绵鳚,抛石机,喷射摩托,燃烧响炮"
13,43,"飞鱼,打火机,绵鳚,喷射摩托,燃烧响炮,潜行滑翔机"
14,44,"飞鱼,潜水配重,毒须鲶,船舵,加速烙刀,潜行滑翔机"
15,46,"流星索,填弹杆,步枪,水车,套娃,小冰镐"
16,48,"淬锋钢,套娃,水车,连发步枪,填弹杆,燃烧响炮"
17,50,"珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,弯刀,淬锋钢"
18,55,"淬锋钢,带刃悬浮板,潜水配重,船长舱,鸦巢"
19,56,"枪套,燃烧响炮,加速烙刀,绵鳚,潜水配重,珍珠,水母,河豚"
20,57,"烈酒杯,炮弹,流星索,锁镰,皮皮虾,迷幻蝠鲼,幽渊鮟鱇,十手,拍立蚌"
21,59,"弯刀,水车,淬锋钢,珊瑚,迷幻蝠鲼,海影宝驹"
22,60,"恶鬼面具,枪套,小冰镐,绵鳚,打火机,燃烧子弹,套娃,燃烧响炮,蔻森娜纹章"
23,62,"抛石机,绵鳚,篝火,燃烧响炮,打火机,大钢弩"
24,65,"珊瑚,淬锋钢,迷幻蝠鲼,套娃,水车,旗舰"
25,66,"十手,理查森先生,迷幻蝠鲼,皮皮虾,火药角,烈酒杯,水车,拍立蚌"
26,67,"小冰镐,救生圈,珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,水草"
27,71,"星盘,海影宝驹,迷幻蝠鲼,吸血章鱼,六分仪,潜水配重,淬锋钢"
28,74,"套娃,水车,拍立蚌,毒须鲶,潜水配重,炮弹,鱼雷"
29,75,"标枪,小冰镐,绵鳚,加速烙刀,燃烧响炮,烈酒杯,大钢弩"
30,78,"小冰镐,弹簧刀,武士刀,水车,淬锋钢,码头缆索"
31,79,"小冰镐,加速烙刀,珊瑚,武士刀,水车,淬锋钢"
32,80,"武士刀,水车,淬锋钢,盐钳海盗,迷幻蝠鲼,理查森先生,小冰镐"
33,83,"水草,毒须鲶,雪怪蟹,元素深水炸弹,潜水配重,水车,小冰镐"
34,84,"水草,毒须鲶,潜水配重,水车,拍立蚌,小冰镐,加速烙刀"
35,85,"淬锋钢,牌桌,沙滩充气球,集成式HUD,吸血章鱼,六分仪,潜水配重"
36,90,"篝火,风暴瓶,雪怪蟹,毒须鲶,绵鳚,小冰镐,燃烧响炮,流星索"
37,96,"枪套,打火机,珊瑚,潜水配重,绵鳚,加速烙刀,燃烧响炮,海影宝驹"
38,98,"飞鱼,海狗沙龙,绵鳚,鳐鲨,迷幻蝠鲼,皮皮虾,盐钳海盗"
39,106,"燃烧响炮,港口,绵鳚,鱼雷,潜水配重,拍立蚌,手雷"
40,111,"小冰镐,淬锋钢,绵鳚,元素深水炸弹,雪怪蟹,水母,潜艇"
41,114,"潜艇,小冰镐,船舵,毒须鲶,雪怪蟹,元素深水炸弹"
42,115,"淬锋钢,牌桌,潜行滑翔机,水车,吸血章鱼"
43,116,"鳐鲨,飞鱼,水母,雪怪蟹,小冰镐,吸血章鱼,潜行滑翔机"
44,117,"珊瑚,绵鳚,打火机,燃烧子弹,火枪,篝火,加速烙刀"
45,118,"六分仪,潜水配重,鱼雷,炮弹,烈酒杯,枪套,大钢弩"
46,123,"湿件战服,珊瑚,牌桌,淬锋钢,马龙鱼,深潜器"
47,125,"加速烙刀,小冰镐,烈酒杯,炮弹,潜水配重,皮皮虾,大钢弩,枪套"
48,127,"皮皮虾,火药角,烈酒杯,绵鳚,加速烙刀,大钢弩,拍立蚌,枪套"
49,129,"加速烙刀,绵鳚,篝火,打火机,燃烧子弹,拍立蚌,大钢弩"
50,136,"牌桌,淬锋钢,水车,马龙鱼,深潜器"
51,142,"藏刃匕首,船舵,绵鳚,加速烙刀,抛石机,燃烧响炮"
52,143,"藏刃匕首,船舵,水车,小冰镐,加速烙刀,珊瑚"
53,146,"小冰镐,流星索,手雷,淬锋钢,带刃悬浮板,潜水配重,船长舱"
54,147,"湿件战服,船首像,小冰镐,藏刃匕首,潜水配重,带刃悬浮板,淬锋钢"
55,152,"湿件战服,淬锋钢,套娃,定制准镜,连发步枪,填弹杆,燃烧响炮"
56,162,"鳐鲨,飞鱼,吸血章鱼,潜行滑翔机,绵鳚,马龙鱼"
57,165,"火药角,鱼雷,珊瑚,潜水配重,水车,套娃,小冰镐"
58,166,"藏刃匕首,燃烧响炮,燃烧子弹,小冰镐,绵鳚,加速烙刀,鲨齿爪,枪套"
59,167,"藏刃匕首,抛石机,飞鱼,燃烧响炮,小冰镐,绵鳚,鲨齿爪"
60,169,"小冰镐,鳐鲨,珍珠,水母,雪怪蟹,元素深水炸弹,绵鳚,水草"
61,160,"拍立蚌,雪怪蟹,风暴瓶,绵鳚,元素深水炸弹,小冰镐,打火机,燃烧响炮"
62,6,"小冰镐,皮皮虾,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚,珊瑚,拍立蚌"
